simulation_unit_id,background_realization_id,split,truth_state,evidence_plane,gap_quality_regime,primary_metric_eligible_by_design,n_samples,duration_s,red_noise_alpha,positive_pair_qpp_fraction,true_period_sampling_spec,true_period_materialized,background_noise_materialized,synthetic_series_materialized,afino_execution_allowed_now,heldout_access_allowed_now,split_rank_sha256,challenge_rank_sha256
F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,F3BBG_N015_A0_Q001_R006,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,6f43f745e13a1b041422eeab240c8e7c9873919937e49d9346b66605aacb8659,77ec4a5d57eda8f92eb27933a82bda7ebe750d4d33e4234688fc5e9958b453d8
F3BBG_N015_A0_Q001_R006:POS:PRIMARY,F3BBG_N015_A0_Q001_R006,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,6f43f745e13a1b041422eeab240c8e7c9873919937e49d9346b66605aacb8659,77ec4a5d57eda8f92eb27933a82bda7ebe750d4d33e4234688fc5e9958b453d8
F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,F3BBG_N015_A0_Q001_R007,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,db42ee23a1e7241edc53938ab5a991dc8b2df1faf3d0cc134d2a510bbaa09925,a181a9411bdbea75b061a6d205073fb1355c9ff60a0394f3923737d6e30e2869
F3BBG_N015_A0_Q001_R007:POS:PRIMARY,F3BBG_N015_A0_Q001_R007,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,db42ee23a1e7241edc53938ab5a991dc8b2df1faf3d0cc134d2a510bbaa09925,a181a9411bdbea75b061a6d205073fb1355c9ff60a0394f3923737d6e30e2869
F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,F3BBG_N015_A0_Q001_R008,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,457c649399737a9fff413c7d9a2981b913b39d5160466be0885ea86156d9f30c,9ba10d16183042e834ac361afe995465f247dfd13f5b2a76e6066f78040b02f3
F3BBG_N015_A0_Q001_R008:POS:PRIMARY,F3BBG_N015_A0_Q001_R008,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,457c649399737a9fff413c7d9a2981b913b39d5160466be0885ea86156d9f30c,9ba10d16183042e834ac361afe995465f247dfd13f5b2a76e6066f78040b02f3
F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3
F3BBG_N015_A0_Q001_R009:POS:PRIMARY,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3
F3BBG_N015_A0_Q001_R009:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,false,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3
F3BBG_N015_A0_Q001_R009:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,false,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3
F3BBG_N015_A0_Q001_R009:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,false,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3
F3BBG_N015_A0_Q001_R009:POS:PEAKMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,false,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3
F3BBG_N015_A0_Q001_R010:NULL:PRIMARY,F3BBG_N015_A0_Q001_R010,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,9b4152b48d6f664b42c097e9902980c887a9aa5c6f514edfbdffb45afd9138cc,5d95559fa1b825d8fe56f9c78212176608a118133f182057235378de813dd054
F3BBG_N015_A0_Q001_R010:POS:PRIMARY,F3BBG_N015_A0_Q001_R010,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,9b4152b48d6f664b42c097e9902980c887a9aa5c6f514edfbdffb45afd9138cc,5d95559fa1b825d8fe56f9c78212176608a118133f182057235378de813dd054
F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,bdad031da19ea1a56a90dfa10c4492e709642848578f7b4a4a3271ace077e326,b153e8620b56ffaafc731a5365f91f2cac20bc1447219dbef7fbab23ca70b9c2
F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,bdad031da19ea1a56a90dfa10c4492e709642848578f7b4a4a3271ace077e326,b153e8620b56ffaafc731a5365f91f2cac20bc1447219dbef7fbab23ca70b9c2
F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,F3BBG_N015_A0_Q001_R012,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,516420effff77cc29fe1a291516d419fcc4ff2b889ef6c8f5dbfee3a94276893,38d12559f6583176338591dc6d73cc51fa7f2242af6ef172c764640259540a2d
F3BBG_N015_A0_Q001_R012:POS:PRIMARY,F3BBG_N015_A0_Q001_R012,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,516420effff77cc29fe1a291516d419fcc4ff2b889ef6c8f5dbfee3a94276893,38d12559f6583176338591dc6d73cc51fa7f2242af6ef172c764640259540a2d
F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,03f6c2717ba3adbf984ed9ac1164f65d02d49bf20974e49f309d87433efbadd5,66587eceaeaed4a7bae6a857633e97b8083b38b7ba5d90f4119c6aa753a57ed8
F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,03f6c2717ba3adbf984ed9ac1164f65d02d49bf20974e49f309d87433efbadd5,66587eceaeaed4a7bae6a857633e97b8083b38b7ba5d90f4119c6aa753a57ed8
F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,c3da5cbd0365f5f9067d444f2e6577612227ca785b6060cab2985611dbc09901,9e24cffe52d4b83a085c0d871659440e6ca3c203dfda5c599b6ddaa31aaddc94
F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,c3da5cbd0365f5f9067d444f2e6577612227ca785b6060cab2985611dbc09901,9e24cffe52d4b83a085c0d871659440e6ca3c203dfda5c599b6ddaa31aaddc94
F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,d2dabcb4ddd69e9d9ba59724591fa515b7f1d0fe069d8c939be2b43bceaa9ce8,32f905d0842e13bc3d25ef1c1d29ac54cfd2b44f5ab2c6243addac5366aa54ed
F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,d2dabcb4ddd69e9d9ba59724591fa515b7f1d0fe069d8c939be2b43bceaa9ce8,32f905d0842e13bc3d25ef1c1d29ac54cfd2b44f5ab2c6243addac5366aa54ed
F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,d6d867312fb1d1d51bfbcfd15b9039961ad07012c2be29d66e073e8483f1d4e2,b4034a7fcd9cc6cc817013e944eceb83aeba2ede0f802e1fbfe98815991cefa6
F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,d6d867312fb1d1d51bfbcfd15b9039961ad07012c2be29d66e073e8483f1d4e2,b4034a7fcd9cc6cc817013e944eceb83aeba2ede0f802e1fbfe98815991cefa6
F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,a290769890066388ddb5367b785de729c24fafdf3ced23e0479780653c8bf206,5ffeaf2c4e00bf8ec6f16b3968606b15417db36d781f0444f855009e59a910a5
F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,a290769890066388ddb5367b785de729c24fafdf3ced23e0479780653c8bf206,5ffeaf2c4e00bf8ec6f16b3968606b15417db36d781f0444f855009e59a910a5
F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,dcfec6ec7925384f4842ffcb7e19ec5baa2c773fbb145200a19aa2a622e87faf,b23a96e664e76fb1259fb98f8e2c317dd24b91644b85849acefc2c57c89d8454
F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,dcfec6ec7925384f4842ffcb7e19ec5baa2c773fbb145200a19aa2a622e87faf,b23a96e664e76fb1259fb98f8e2c317dd24b91644b85849acefc2c57c89d8454
F3BBG_N015_A0_Q001_R019:NULL:PRIMARY,F3BBG_N015_A0_Q001_R019,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,11e26a95733ebc7c8da2123745669444cfcd5e688e3c2d7783216c3550d695e5,aa98c923fba37f70c09ef924e80da14e5123c7d721dcc4f3ec83ef34be6d89c3
F3BBG_N015_A0_Q001_R019:POS:PRIMARY,F3BBG_N015_A0_Q001_R019,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,11e26a95733ebc7c8da2123745669444cfcd5e688e3c2d7783216c3550d695e5,aa98c923fba37f70c09ef924e80da14e5123c7d721dcc4f3ec83ef34be6d89c3
F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,9d030b9b96b0bd0574af77837d9a00ff0f67751f03c617fa5c4b03264511a852,bbd9efa17a6b52b8027a6d79fc426ed36b3a7df9e9621f1e20bffce0a1ebc036
F3BBG_N015_A0_Q001_R020:POS:PRIMARY,F3BBG_N015_A0_Q001_R020,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,9d030b9b96b0bd0574af77837d9a00ff0f67751f03c617fa5c4b03264511a852,bbd9efa17a6b52b8027a6d79fc426ed36b3a7df9e9621f1e20bffce0a1ebc036
F3BBG_N015_A0_Q001_R021:NULL:PRIMARY,F3BBG_N015_A0_Q001_R021,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,d7e0430e6071827d4a90a21fb26926e015de3a538f431093ba8b94d93d710a80,e210d17188b410b8810bd5ef78a1bdf4e97fb20344b6370a84c921b396cbad65
F3BBG_N015_A0_Q001_R021:POS:PRIMARY,F3BBG_N015_A0_Q001_R021,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,d7e0430e6071827d4a90a21fb26926e015de3a538f431093ba8b94d93d710a80,e210d17188b410b8810bd5ef78a1bdf4e97fb20344b6370a84c921b396cbad65
F3BBG_N015_A0_Q001_R022:NULL:PRIMARY,F3BBG_N015_A0_Q001_R022,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,f8ac2d5338dffbd5c93cf872a414ff76db11a19d8a0a7f27f767110e353f6e3b,75a8aa5aa6a1ab379baa0af2d68d7ec01f4586058709f65814b2d553007a7f15
F3BBG_N015_A0_Q001_R022:POS:PRIMARY,F3BBG_N015_A0_Q001_R022,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,f8ac2d5338dffbd5c93cf872a414ff76db11a19d8a0a7f27f767110e353f6e3b,75a8aa5aa6a1ab379baa0af2d68d7ec01f4586058709f65814b2d553007a7f15
F3BBG_N015_A0_Q001_R023:NULL:PRIMARY,F3BBG_N015_A0_Q001_R023,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,c9efe3ccf945a295347005fdba115c1be760269c21f3b05c2bd7c28e1c9e737e,ab4e36eea30c5c2fab600324ddb857349c2b74dae92b1eb9eb32aa0300c224da
F3BBG_N015_A0_Q001_R023:POS:PRIMARY,F3BBG_N015_A0_Q001_R023,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,c9efe3ccf945a295347005fdba115c1be760269c21f3b05c2bd7c28e1c9e737e,ab4e36eea30c5c2fab600324ddb857349c2b74dae92b1eb9eb32aa0300c224da
F3BBG_N015_A0_Q001_R024:NULL:PRIMARY,F3BBG_N015_A0_Q001_R024,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,c988979255798532c727389714038a58400b76a07bb910f106e1683b55950b8f,79730d175df6631f7e4f28aa1359d99491525611e4ac3dda2afca073e8e4690b
