work_id,preferred_version_id,title,first_public_date,publication_date,doi,arxiv_id,bibcode,peer_review_status,tess_used,other_missions_used,stellar_flares_analyzed,catalog_or_sample_type,sample_size_reported,flare_count_reported,qpp_candidate_count_reported,target_selection_description,flare_selection_description,qpp_candidate_selection_description,tess_sectors,cadence_or_sampling,data_product,detection_method_primary,detection_methods_additional,afino_used,afino_version_if_reported,periodogram_used,wavelet_used,bayesian_model_comparison_used,other_method_used,window_definition_reported,detrending_reported,quality_filtering_reported,gap_handling_reported,irregular_sampling_handling_reported,selection_threshold_or_rule,period_search_range,window_robustness_tested,processing_robustness_tested,quality_robustness_tested,gap_robustness_tested,optimizer_stability_tested,optimizer_or_seed_details,warnings_bounds_or_convergence_discussed,synthetic_data_used,injection_recovery_used,ground_truth_known,signal_family_description,noise_model_description,flare_background_description,selection_function_characterized,completeness_characterized,false_selection_characterized,development_set_used,validation_set_used,heldout_validation_used,heldout_definition,reported_methodological_conclusion,reported_catalog_conclusion,reported_validation_conclusion,authors_stated_limitations,extraction_status
BAIIW0028,BAIIV0044,Magnetic activity of RS CVn stars based on TESS and LAMOST surveys,2025-07-01,2025-07-01,10.1051/0004-6361/202451962,NOT_APPLICABLE,2025A&A...699A.322X,PEER_REVIEWED,YES,LAMOST; radio surveys used for comparison,YES,RS CVn candidates crossmatched to TESS/LAMOST,1812 RS CVn candidates; TESS subset reported in article,1254 flares in 144 flare stars,NOT_APPLICABLE,RS CVn candidates crossmatched with TESS/LAMOST.,Statistical flare identification from TESS light curves; exact rule not resolved in abstract evidence.,NOT_APPLICABLE,NOT_REPORTED,2 min for the analyzed TESS subset,TESS PDC-SAP reported in article,TESS flare-catalogue statistics,LAMOST activity indicators,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,TESS flare statistics are combined with LAMOST indicators for RS CVn activity characterization.,The TESS subset contains 1254 flares in 144 flare-active RS CVn systems.,No synthetic/held-out validation is resolved from the abstract.,Detailed detection-completeness treatment is not resolved in the abstract evidence.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0029,BAIIV0045,Magnetic Activities of Wolf 359: Starspot Distribution and Quasiperiodic Pulsation Using TESS Data,2025-08-01,2025-08-01,10.3847/1538-4357/ade9a7,NOT_APPLICABLE,2025ApJ...988..257R,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Single M dwarf (Wolf 359) across multiple TESS sectors,1 star,"48;46;32 flares across Sectors 45,46,72",2 complex flare events with reported oscillations,"Wolf 359 in TESS Sectors 45, 46 and 72.",Flare events identified per sector; exact rule not resolved from provider-level evidence.,Oscillatory signatures measured in two complex flares; detailed detector not resolved here.,45;46;72,2 min,NOT_REPORTED,TESS flare/starspot time-series analysis,QPP characterization in two complex flares,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,~104.56 min and ~39.22 min reported,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,The study reports QPP-like oscillations in two complex Wolf 359 flares.,Sector-by-sector flare counts are reported for one repeatedly observed M dwarf.,No synthetic or held-out validation is resolved from provider-level evidence.,The detailed QPP significance/robustness procedure requires the full journal article.,COMPLETE_WITH_ACCESS_LIMITATION
BAIIW0033,BAIIV0053,Exploring the photometric variability of ultra-cool dwarfs with TESS,2023-11,2024-01-01,10.1093/mnras/stad3720,NOT_APPLICABLE,2024MNRAS.527.8290P,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Ultra-cool dwarfs M4–L4,208 UCDs,778 flares in 103 UCDs,NOT_APPLICABLE,208 UCDs with spectral types M4–L4 in TESS 20-s and 2-min data.,Flare identification sufficient to derive energies/FFDs; exact rule not in abstract.,NOT_APPLICABLE,NOT_REPORTED,20 s and 2 min,NOT_REPORTED,TESS rotation and flare-frequency analysis,Bolometric flare energies and FFDs,NO,NOT_APPLICABLE,NOT_REPORTED,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,TESS 20-s and 2-min data jointly characterize UCD rotation and flaring.,778 flares are identified in 103 of 208 UCDs.,No injection–recovery/held-out validation is reported in the abstract.,Detection completeness by cadence is not quantified in the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0035,BAIIV0057,Planetary perturbers: flaring star-planet interactions in Kepler and TESS,2023-11,2024-01-01,10.1093/mnras/stad3398,NOT_APPLICABLE,2024MNRAS.527.3395I,PEER_REVIEWED,YES,Kepler,YES,Kepler/TESS star–planet systems,1811 systems searched; 25 single stars with ≥3 flares,NOT_REPORTED,NOT_APPLICABLE,1811 star–planet systems with Kepler/TESS phase coverage.,Flare catalog compiled for systems; exact detector not described in abstract.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Orbital-phase clustering of stellar flares,Comparison with theoretical magnetic-interaction power,NO,NOT_APPLICABLE,NO,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Orbital-phase clustering significance; HIP 67522 p<0.006,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Flares are tested for clustering in planetary orbital phase as a possible magnetic star–planet interaction signature.,25 single stars with at least three flares remain from 1811 searched systems.,No injection–recovery/held-out detector validation is described in the abstract.,Most systems show no clustering; the main positive case remains a candidate interpretation.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0037,BAIIV0060,Detecting stellar flares in the presence of a deterministic trend and stochastic volatility,2025-12,2026-03-01,10.1093/mnras/stag235,NOT_APPLICABLE,2026MNRAS.546ag235W,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Method study demonstrated on three TESS stars,3 exemplar stars,"up to 145, 460 and 403 detections depending target/threshold",NOT_APPLICABLE,"Three exemplar TESS light curves: TIC13955147, TIC269797536 and AU Mic.",Large deviations after time-varying harmonic trend removal and ARMA+GARCH stochastic modeling.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Time-varying harmonic trend + ARMA/GARCH flare detection,Threshold-dependent flare characterization and power-law energy/peak-flux distributions,NO,NOT_APPLICABLE,NO,NO,NO,YES,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Multiple detection thresholds evaluated; exact thresholds not in abstract.,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,ARMA+GARCH stochastic process after deterministic harmonic trend removal,Irregular stellar baseline explicitly modeled,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Explicit deterministic-trend and stochastic-volatility modeling provides a concrete alternative flare detector for variable TESS baselines.,The method is demonstrated on three stars rather than a survey catalogue.,The abstract does not resolve an injection–recovery or held-out benchmark.,Detection counts depend on chosen thresholds; broader validation is not reported in the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0040,BAIIV0064,Activity Cycles of Solar-Type Stars with Superflares,2025-10-01,2025-10-01,10.1134/s106377292570221x,NOT_APPLICABLE,2025ARep...69..983S,PEER_REVIEWED,YES,KWS ground-based archive,YES,Solar-type superflare stars,711 selected TESS superflare stars; 401 with KWS records,NOT_REPORTED,NOT_APPLICABLE,TESS archive solar-type superflare stars; subset with sufficient KWS coverage.,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Long-term activity-cycle analysis combining TESS selection and archival ground photometry,NOT_REPORTED,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Long-baseline ground data are used to search activity cycles in TESS-selected superflare stars.,711 TESS superflare stars were selected; 401 had sufficient KWS data and cycles were reported in a subset.,No injection–recovery/held-out validation is reported.,This is activity-cycle context rather than a QPP-detection study.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0041,BAIIV0066,Evolution of Flare Activity in GKM Stars Younger Than 300 Myr over Five Years of TESS Observations,2024-05-01,2024-08-01,10.3847/1538-3881/ad4edf,NOT_APPLICABLE,2024AJ....168...60F,PEER_REVIEWED,YES,GALEX crossmatch,YES,26 young moving groups/clusters/associations (<300 Myr),3157 flaring stars; rotation periods for 1847,"26,355",NOT_APPLICABLE,Members of 26 nearby groups/clusters/associations younger than 300 Myr observed by TESS.,Population-level flare detection; exact algorithm not in abstract.,NOT_APPLICABLE,NOT_REPORTED,2 min,NOT_REPORTED,TESS population flare-rate/FFD analysis,Rotation and annual flare-rate variability,NO,NOT_APPLICABLE,NOT_REPORTED,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,A large young-star TESS population is used to measure flare-rate and FFD evolution with age/rotation.,"26,355 flares from 3157 stars; 1847 rotation periods; annual flare-rate variability in eleven stars.",No explicit injection–recovery or held-out validation is stated in the abstract.,Population-level flare detection challenges are acknowledged as motivation; detailed completeness is not in the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0043,BAIIV0068,Magnetic Activity in X-Ray Stars from eROSITA: Insights from the TESS and LAMOST Surveys,2026-06-01,2026-06-01,10.3847/1538-4365/ae5d2d,NOT_APPLICABLE,2026ApJS..284...54X,PEER_REVIEWED,YES,eROSITA; LAMOST,YES,eRASS1 X-ray stars crossmatched with TESS and LAMOST,1430 flare-active stars reported in accessible abstract summary,7229 reported flares,NOT_APPLICABLE,eROSITA eRASS1 X-ray sources crossmatched with TESS and LAMOST.,Machine-learning/CNN flare identification reported by the study; exact details not resolved here.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,TESS flare survey of X-ray-selected stars,LAMOST spectroscopy/eROSITA context,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,TESS flare activity is characterized for an X-ray-selected eROSITA population with LAMOST context.,The accessible abstract-level evidence reports 7229 flares on 1430 stars.,Detailed classifier validation is not resolved from the provider-level evidence used here.,Full detection and completeness mechanics require the journal article.,COMPLETE_WITH_ACCESS_LIMITATION
BAIIW0050,BAIIV0080,Exploring stellar activity in a sample of active M dwarfs,2025-10,2025-12-01,10.1051/0004-6361/202554816,NOT_APPLICABLE,2025A&A...704A.154R,PEER_REVIEWED,YES,Ground spectroscopy,YES,Sample of active M dwarfs,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,Active M dwarfs with TESS photometry and spectroscopy.,Flare occurrence/frequency analysis; exact detector not in abstract.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,TESS flare occurrence + FFD + rotation/starspot/spectroscopic activity analysis,Hα and chromospheric indicators,NO,NOT_APPLICABLE,NOT_REPORTED,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,Photometric and spectroscopic activity indicators are jointly related to rotation and flare occurrence.,The study reports spectral-type and rotation-dependent flare occurrence and FFD slopes.,No injection–recovery/held-out validation is reported in the abstract.,Sample size and detector details are not reported in the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0053,BAIIV0085,Time-Resolved Connection between Starspots and Flares in Nearby Young Solar-type Stars Observed by TESS,2026-07-01,2026-07-01,NOT_APPLICABLE,2607.11824,2026arXiv260711824H,PREPRINT,YES,NOT_APPLICABLE,YES,Three nearby young solar-type stars over ~7 years,3 stars,NOT_REPORTED,NOT_APPLICABLE,"EK Dra, DS Tuc A and V889 Her over available TESS sectors.",Automated flare detection per sector.,NOT_APPLICABLE,Multiple sectors over ~7 years,NOT_REPORTED,NOT_REPORTED,"Sector-level flare frequency, starspot area and rotation analysis",Time-resolved correlation across sectors,NO,NOT_APPLICABLE,NOT_REPORTED,NO,NOT_REPORTED,YES,Sector (~27 d) analysis units,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Sector-by-sector analysis tracks flare frequency and starspot area on multi-year timescales.,Three stars show significant temporal variation and positive flare-frequency/starspot-area correlations.,No synthetic or held-out validation is reported.,Only three representative stars are studied; no activity-cycle-like pattern is confidently identified.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0055,BAIIV0088,"VizieR Online Data Catalog: Magnetic activity of radio stars (Wang+, 2024)",2024-03-01,2024-03-01,NOT_APPLICABLE,NOT_APPLICABLE,2024yCat..36860164W,NOT_APPLICABLE,YES,LAMOST; LoTSS; ASKAP; VLASS; Gaia,YES,Radio-star catalog crossmatched with TESS,1537 catalog radio stars + 98 survey radio stars,"12,155 flares on 856 stars + 3992 flares on 86 stars",NOT_APPLICABLE,Radio-star catalog and modern radio-survey detections crossmatched with TESS.,Repeated-fitting technique separates stellar background light curves from flare events.,NOT_APPLICABLE,NOT_REPORTED,120 s,4001 + 260 TESS light curves reported,Repeated fitting for flare/background separation,LAMOST/Gaia/radio activity comparison,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,Repeated fitting distinguishes background from flares.,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,A repeated-fitting pipeline separates flare events from TESS background variability in radio-star samples.,"The linked article reports 12,155 flares in 856 Sample-1 stars and 3992 flares in 86 Sample-2 stars.",No injection–recovery/held-out validation is reported in the accessible abstract.,The BAII preferred version is the VizieR catalogue record; article information is used only as linked methodological context without changing version identity.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0057,BAIIV0090,Linking Stellar Activity with Rotation Rates Through Gyrochronology,2025-01-01,2025-01-01,NOT_APPLICABLE,NOT_APPLICABLE,2025AAS...24535218M,NOT_PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Wide noninteracting binaries in TESS Cycle 3,3912 binaries,NOT_REPORTED,NOT_APPLICABLE,3912 wide noninteracting binaries with available rotation periods.,AltaiPony applied to TESS target pixel files.,NOT_APPLICABLE,Cycle 3,NOT_REPORTED,Target pixel files,AltaiPony flare detection,Flare frequency/equivalent duration vs rotation,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,AltaiPony flare measurements are related to known rotation periods in a large binary sample.,Preliminary results from 3912 TESS Cycle-3 wide binaries show decreasing flare rate with longer rotation period.,No injection–recovery/held-out validation is reported in the abstract.,Conference abstract reports preliminary results.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0065,BAIIV0101,Evolution of Flaring Activity with the Beta Pictoris and AB Doradus Moving Groups,2024-02-01,2024-02-01,NOT_APPLICABLE,NOT_APPLICABLE,2024AAS...24325908E,NOT_PEER_REVIEWED,YES,NOT_APPLICABLE,YES,β Pictoris and AB Doradus moving-group low-mass stars,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,"Low-mass members of β Pic (~24 Myr) and AB Dor (~150 Myr), screened for blending.",Blend of canonical outlier detection and morphology-informed machine learning.,NOT_APPLICABLE,NOT_REPORTED,2 min,NOT_REPORTED,Outlier detection + morphology-informed machine learning,Flare rate/energy versus stellar properties,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,YES,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,The abstract combines explicit blend screening with outlier and morphology-informed ML flare extraction.,It compares flare activity in two young moving groups at different ages.,No injection–recovery/held-out validation is reported.,Preliminary conference analysis; sample and completeness details are not fully reported.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0071,BAIIV0113,Searching for Stellar Activity Cycles using Flares II: The TESS CVZ,2026-07-01,2026-07-01,NOT_APPLICABLE,2607.12883,2026arXiv260712883W,PREPRINT,YES,NOT_APPLICABLE,YES,TESS Continuous Viewing Zone long-baseline short-cadence survey,">14,000 stars",NOT_REPORTED,NOT_APPLICABLE,"Over 14,000 stars with seven years of TESS short-cadence CVZ observations.",Flare finding with star-specific injection–recovery completeness characterization.,NOT_APPLICABLE,Continuous Viewing Zone across seven years,short cadence,NOT_REPORTED,Long-term flare-rate monitoring with per-star injection–recovery,Completeness limits and activity-cycle search,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,Long-baseline comparison across repeated TESS observations,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Star-specific detection thresholds/completeness limits,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,YES,YES,YES,Injected synthetic flares used to characterize recovery for each star.,NOT_REPORTED,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,Per-star injection–recovery provides completeness-aware flare thresholds for a long-baseline TESS survey.,">14,000 CVZ stars are searched and 17 show evidence of long-term flare-rate variability.",Injection–recovery explicitly calibrates detection completeness; independent held-out validation is not reported in the abstract.,The abstract does not describe a development/held-out split; long-term candidates require interpretation against sampling/systematics.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0098,BAIIV0156,Detecting Quasiperiodic Pulsations in Solar and Stellar Flares with a Neural Network,2024-08-09,2024-10-01,10.3847/1538-4365/ad6f98,NOT_APPLICABLE,2024ApJS..274...31B,PEER_REVIEWED,NO,Kepler,YES,Synthetic QPP/non-QPP training set + Kepler flare validation/application,"90,000 synthetic flare light curves; 2274-event Kepler catalogue application",2274 real catalogue events in large application,7% above 95% model probability in 2274-event Kepler catalogue,Synthetic flare light curves for training; known QPP Kepler subset for real-data check; then a 2274-event Kepler catalogue.,Input flare catalogues are pre-existing.,Fully convolutional network classifies exponentially decaying harmonic QPP presence.,NOT_APPLICABLE,NOT_REPORTED,Kepler flare light curves + generated synthetic light curves,Fully convolutional neural network (FCN) QPP classifier,Synthetic train/test + known-QPP real-data check,NO,NOT_APPLICABLE,NO,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Reported application uses QPP probability >95% for high-confidence detections.,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,YES,Exponentially decaying harmonic QPP versus no-QPP synthetic flare families.,Synthetic flares include noise contamination; detailed model in full article.,Synthetic flare light curves form the background morphology.,YES,YES,YES,YES,YES,YES,Synthetic test data separate from training; additional real Kepler QPP checks.,An FCN provides an implementable automated QPP classifier for exponentially decaying harmonic signals.,"Applied to 2274 Kepler flare events, ~7% exceed 95% QPP probability.","90,000 synthetic with/without-QPP flares provide known truth; reported synthetic test accuracy is 87.2%, followed by real-data checks.",The learned signal family is specifically exponentially decaying harmonic QPP; transfer to other QPP morphologies or TESS is not established by the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0100,BAIIV0160,Accessing the fine temporal scale of EUV brightenings and their quasi-periodic pulsations: 1-second cadence observations by Solar Orbiter/EUI,2025-10-07,2025-11-01,10.1051/0004-6361/202557135,NOT_APPLICABLE,2025A&A...704A..58L,PEER_REVIEWED,NO,Solar Orbiter/EUI,NO,Solar EUV brightenings at 1-s cadence,">500,000 active-region and ~300,000 quiet-Sun brightenings",NOT_APPLICABLE,NOT_REPORTED,Solar active-region and quiet-Sun EUV brightenings in 1-s EUI data.,Automated brightening detection.,"Fourier, ensemble EMD and wavelet analyses used to characterize QPPs.",NOT_APPLICABLE,1 s,Solar Orbiter/EUI EUV time series,Fourier + EEMD + wavelet QPP analysis,Automated EUV brightening detection,NO,NOT_APPLICABLE,YES,YES,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,~5 s to >500 s,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Multiple time-frequency techniques characterize QPPs in very high-cadence solar EUV brightenings.,The automated solar sample is extremely large but is not a TESS/stellar catalogue.,No injection–recovery/held-out validation is reported in the abstract.,Solar EUV data provide methodological/cadence context rather than direct TESS overlap.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0102,BAIIV0163,M dwarfs quasi-periodic pulsations at a time resolution of 1 s,2024-12-01,2024-12-01,NOT_APPLICABLE,2412.07580,2024arXiv241207580P,PREPRINT,NO,BTA/MANIA ground-based,YES,High-time-resolution dM flare sample,44 analyzed flares,44,13,High-cadence observations of M-dwarf flares.,NOT_REPORTED,Fourier transform and empirical mode decomposition.,NOT_APPLICABLE,1 s analysis resolution,Ground-based high-speed optical photometry,Fourier transform + empirical mode decomposition,NOT_REPORTED,NO,NOT_APPLICABLE,YES,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,6–107 s,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,High-time-resolution ground photometry demonstrates short-period M-dwarf QPP detection with Fourier and EMD techniques.,13 QPPs are identified among 44 flares.,No injection–recovery/held-out validation is reported.,Ground-based sample is method/cadence context rather than direct TESS overlap.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0110,BAIIV0177,Sub-second cadence structure of optical flares on AD Leo,2026-01-01,2026-04-01,10.1051/0004-6361/202558208,NOT_APPLICABLE,2026A&A...708A.225S,PEER_REVIEWED,NO,Ground-based AD Leo campaign,YES,AD Leo sub-second optical campaign,211 h over six years,42,NOT_REPORTED,AD Leo ground-based high-cadence observations over six years.,42 optical flares identified.,Time-frequency analysis searches for rapid QPP structure.,NOT_APPLICABLE,0.3 s,Ground-based optical time series,Time-frequency QPP analysis,Rebinning/cadence-degradation analysis,NO,NOT_APPLICABLE,NOT_REPORTED,YES,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,No convincing sub-few-second QPPs; candidate structures on ~1/3 min scales,YES,YES,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Sub-second data and controlled temporal binning constrain how flare/QPP morphology changes with cadence.,42 flares are analyzed across 211 h of AD Leo monitoring.,Cadence degradation provides an observational robustness check; no synthetic ground truth is reported.,Single-star ground-based data are not direct TESS overlap.,COMPLETE_WITH_NOT_REPORTED_FIELDS
