access_id,work_id,version_id,source_type,source_identifier,access_url_or_identifier,access_date_utc,access_status,full_text_available,source_used_for_extraction,local_copy_present,local_copy_sha256,redistribution_allowed,use_role,notes
BAII4A0011,BAIIW0028,BAIIV0044,PUBLISHER_HTML,doi:10.1051/0004-6361/202451962,doi:10.1051/0004-6361/202451962,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0012,BAIIW0029,BAIIV0045,SCI_X_ADS_METADATA,doi:10.3847/1538-4357/ade9a7,doi:10.3847/1538-4357/ade9a7,2026-08-10T23:57:00Z,ACCESSED_WITH_LIMITATION,NOT_REPORTED,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,BAII.4 extraction used only the available abstract/provider-level evidence; unresolved detail is encoded as NOT_REPORTED.
BAII4A0013,BAIIW0033,BAIIV0053,ARXIV,arXiv:2311.13591,arXiv:2311.13591,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0014,BAIIW0035,BAIIV0057,ARXIV,arXiv:2311.04316,arXiv:2311.04316,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0015,BAIIW0037,BAIIV0060,ARXIV,arXiv:2512.18559,arXiv:2512.18559,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0016,BAIIW0040,BAIIV0064,PUBLISHER_HTML,doi:10.1134/s106377292570221x,doi:10.1134/s106377292570221x,2026-08-10T23:57:00Z,ACCESSED,NOT_REPORTED,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0017,BAIIW0041,BAIIV0066,ARXIV,arXiv:2405.00850,arXiv:2405.00850,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0018,BAIIW0043,BAIIV0068,SCI_X_ADS_METADATA,doi:10.3847/1538-4365/ae5d2d,doi:10.3847/1538-4365/ae5d2d,2026-08-10T23:57:00Z,ACCESSED_WITH_LIMITATION,NOT_REPORTED,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,BAII.4 extraction used only the available abstract/provider-level evidence; unresolved detail is encoded as NOT_REPORTED.
BAII4A0019,BAIIW0050,BAIIV0080,ARXIV,arXiv:2510.02693,arXiv:2510.02693,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0020,BAIIW0053,BAIIV0085,ARXIV,arXiv:2607.11824,arXiv:2607.11824,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0021,BAIIW0055,BAIIV0088,VIZIER_WITH_ARTICLE_CONTEXT,bibcode:2024yCat..36860164W; article doi:10.1051/0004-6361/202348342,bibcode:2024yCat..36860164W; article doi:10.1051/0004-6361/202348342,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0022,BAIIW0057,BAIIV0090,BAAS,bibcode:2025AAS...24535218M,bibcode:2025AAS...24535218M,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0023,BAIIW0065,BAIIV0101,BAAS,bibcode:2024AAS...24325908E,bibcode:2024AAS...24325908E,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0024,BAIIW0071,BAIIV0113,ARXIV,arXiv:2607.12883,arXiv:2607.12883,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0025,BAIIW0098,BAIIV0156,ARXIV,arXiv:2408.05038,arXiv:2408.05038,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0026,BAIIW0100,BAIIV0160,ARXIV,arXiv:2510.05810,arXiv:2510.05810,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0027,BAIIW0102,BAIIV0163,ARXIV,arXiv:2412.07580,arXiv:2412.07580,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0028,BAIIW0110,BAIIV0177,ARXIV,arXiv:2602.21726,arXiv:2602.21726,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0029,BAIIW0145,BAIIV0222,ARXIV,arXiv:2412.12989,arXiv:2412.12989,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0030,BAIIW0147,BAIIV0226,ARXIV,arXiv:2412.15297,arXiv:2412.15297,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0031,BAIIW0149,BAIIV0230,PUBLISHER_OR_AUTHOR_FULLTEXT,doi:10.3847/1538-4357/ae6446,doi:10.3847/1538-4357/ae6446,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: FULL_TEXT. No protected full-text file is stored in Git.
BAII4A0032,BAIIW0150,BAIIV0232,ARXIV,arXiv:2510.15453,arXiv:2510.15453,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0033,BAIIW0154,BAIIV0240,JOURNAL_ABSTRACT,doi:10.1088/1538-3873/ae6e70,doi:10.1088/1538-3873/ae6e70,2026-08-10T23:57:00Z,ACCESSED,NO,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0034,BAIIW0156,BAIIV0242,AAS_PROVIDED_FULLTEXT,doi:10.3847/2515-5172/ae74cf,doi:10.3847/2515-5172/ae74cf,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: FULL_TEXT. No protected full-text file is stored in Git.
BAII4A0035,BAIIW0165,BAIIV0253,VIZIER,J/AJ/169/27,J/AJ/169/27,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: TABLE. No protected full-text file is stored in Git.
BAII4A0036,BAIIW0168,BAIIV0257,ARXIV,arXiv:2606.22601,arXiv:2606.22601,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0037,BAIIW0181,BAIIV0273,BAAS,bibcode:2024AAS...24325911M,bibcode:2024AAS...24325911M,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0038,BAIIW0182,BAIIV0274,SCI_X_ADS_METADATA,bibcode:2026AAS...24722004T,bibcode:2026AAS...24722004T,2026-08-10T23:57:00Z,ACCESSED_WITH_LIMITATION,NOT_REPORTED,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,BAII.4 extraction used only the available abstract/provider-level evidence; unresolved detail is encoded as NOT_REPORTED.
BAII4A0039,BAIIW0188,BAIIV0280,SCI_X_ADS_METADATA,bibcode:2026AAS...24742903B,bibcode:2026AAS...24742903B,2026-08-10T23:57:00Z,ACCESSED_WITH_LIMITATION,NOT_REPORTED,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,BAII.4 extraction used only the available abstract/provider-level evidence; unresolved detail is encoded as NOT_REPORTED.
BAII4A0040,BAIIW0190,BAIIV0283,ASCL,ascl:2405.017,ascl:2405.017,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: PROVIDER_METADATA. No protected full-text file is stored in Git.
