matrix_cell_id,window_variant_id,processing_profile_id,primary_or_secondary,f2_definition_inherited,scientific_rationale,changes_from_f2,delta_start_cadences,delta_end_cadences,window_perturbation_family,window_description,flux_product,quality_policy,detrending,external_optimizer_seed
F3AC011,WSm2,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,0,start_extension,start two cadences earlier,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC012,WSm2,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,0,start_extension,start two cadences earlier,SAP,finite_all,linear_residual_plus_one,0
F3AC013,WSm1,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,0,start_extension,start one cadence earlier,PDCSAP,finite_all,none,0
F3AC014,WSm1,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,0,start_extension,start one cadence earlier,SAP,finite_all,none,0
F3AC015,WSm1,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,0,start_extension,start one cadence earlier,PDCSAP,q0_native,none,0
F3AC016,WSm1,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,0,start_extension,start one cadence earlier,SAP,q0_native,none,0
F3AC017,WSm1,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,0,start_extension,start one cadence earlier,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC018,WSm1,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,0,start_extension,start one cadence earlier,SAP,finite_all,linear_residual_plus_one,0
F3AC019,WSp1,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,0,start_contraction,start one cadence later,PDCSAP,finite_all,none,0
F3AC020,WSp1,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,0,start_contraction,start one cadence later,SAP,finite_all,none,0
F3AC021,WSp1,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,0,start_contraction,start one cadence later,PDCSAP,q0_native,none,0
F3AC022,WSp1,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,0,start_contraction,start one cadence later,SAP,q0_native,none,0
F3AC023,WSp1,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,0,start_contraction,start one cadence later,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC024,WSp1,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,0,start_contraction,start one cadence later,SAP,finite_all,linear_residual_plus_one,0
F3AC025,WSp2,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,0,start_contraction,start two cadences later,PDCSAP,finite_all,none,0
F3AC026,WSp2,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,0,start_contraction,start two cadences later,SAP,finite_all,none,0
F3AC027,WSp2,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,0,start_contraction,start two cadences later,PDCSAP,q0_native,none,0
F3AC028,WSp2,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,0,start_contraction,start two cadences later,SAP,q0_native,none,0
F3AC029,WSp2,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,0,start_contraction,start two cadences later,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC030,WSp2,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,0,start_contraction,start two cadences later,SAP,finite_all,linear_residual_plus_one,0
F3AC031,WEm2,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-2,end_contraction,end two cadences earlier,PDCSAP,finite_all,none,0
F3AC032,WEm2,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-2,end_contraction,end two cadences earlier,SAP,finite_all,none,0
F3AC033,WEm2,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-2,end_contraction,end two cadences earlier,PDCSAP,q0_native,none,0
F3AC034,WEm2,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-2,end_contraction,end two cadences earlier,SAP,q0_native,none,0
F3AC035,WEm2,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-2,end_contraction,end two cadences earlier,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC036,WEm2,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-2,end_contraction,end two cadences earlier,SAP,finite_all,linear_residual_plus_one,0
F3AC037,WEm1,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-1,end_contraction,end one cadence earlier,PDCSAP,finite_all,none,0
F3AC038,WEm1,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-1,end_contraction,end one cadence earlier,SAP,finite_all,none,0
F3AC039,WEm1,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-1,end_contraction,end one cadence earlier,PDCSAP,q0_native,none,0
F3AC040,WEm1,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-1,end_contraction,end one cadence earlier,SAP,q0_native,none,0
F3AC041,WEm1,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-1,end_contraction,end one cadence earlier,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC042,WEm1,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,-1,end_contraction,end one cadence earlier,SAP,finite_all,linear_residual_plus_one,0
F3AC043,WEp1,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,1,end_extension,end one cadence later,PDCSAP,finite_all,none,0
F3AC044,WEp1,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,1,end_extension,end one cadence later,SAP,finite_all,none,0
F3AC045,WEp1,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,1,end_extension,end one cadence later,PDCSAP,q0_native,none,0
F3AC046,WEp1,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,1,end_extension,end one cadence later,SAP,q0_native,none,0
F3AC047,WEp1,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,1,end_extension,end one cadence later,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC048,WEp1,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,1,end_extension,end one cadence later,SAP,finite_all,linear_residual_plus_one,0
F3AC049,WEp2,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,2,end_extension,end two cadences later,PDCSAP,finite_all,none,0
F3AC050,WEp2,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,2,end_extension,end two cadences later,SAP,finite_all,none,0
F3AC051,WEp2,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,2,end_extension,end two cadences later,PDCSAP,q0_native,none,0
F3AC052,WEp2,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,2,end_extension,end two cadences later,SAP,q0_native,none,0
F3AC053,WEp2,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,2,end_extension,end two cadences later,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC054,WEp2,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,2,end_extension,end two cadences later,SAP,finite_all,linear_residual_plus_one,0
F3AC055,WX1,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,1,symmetric_extension,symmetric extension by one cadence,PDCSAP,finite_all,none,0
F3AC056,WX1,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,1,symmetric_extension,symmetric extension by one cadence,SAP,finite_all,none,0
F3AC057,WX1,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,1,symmetric_extension,symmetric extension by one cadence,PDCSAP,q0_native,none,0
F3AC058,WX1,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,1,symmetric_extension,symmetric extension by one cadence,SAP,q0_native,none,0
F3AC059,WX1,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,1,symmetric_extension,symmetric extension by one cadence,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC060,WX1,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-1,1,symmetric_extension,symmetric extension by one cadence,SAP,finite_all,linear_residual_plus_one,0
F3AC061,WC1,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,-1,symmetric_contraction,symmetric contraction by one cadence,PDCSAP,finite_all,none,0
F3AC062,WC1,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,-1,symmetric_contraction,symmetric contraction by one cadence,SAP,finite_all,none,0
F3AC063,WC1,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,-1,symmetric_contraction,symmetric contraction by one cadence,PDCSAP,q0_native,none,0
F3AC064,WC1,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,-1,symmetric_contraction,symmetric contraction by one cadence,SAP,q0_native,none,0
F3AC065,WC1,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,-1,symmetric_contraction,symmetric contraction by one cadence,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC066,WC1,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,1,-1,symmetric_contraction,symmetric contraction by one cadence,SAP,finite_all,linear_residual_plus_one,0
F3AC067,WX2,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,2,symmetric_extension,symmetric extension by two cadences,PDCSAP,finite_all,none,0
F3AC068,WX2,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,2,symmetric_extension,symmetric extension by two cadences,SAP,finite_all,none,0
F3AC069,WX2,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,2,symmetric_extension,symmetric extension by two cadences,PDCSAP,q0_native,none,0
F3AC070,WX2,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,2,symmetric_extension,symmetric extension by two cadences,SAP,q0_native,none,0
F3AC071,WX2,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,2,symmetric_extension,symmetric extension by two cadences,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC072,WX2,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,2,symmetric_extension,symmetric extension by two cadences,SAP,finite_all,linear_residual_plus_one,0
F3AC073,WC2,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,-2,symmetric_contraction,symmetric contraction by two cadences,PDCSAP,finite_all,none,0
F3AC074,WC2,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,-2,symmetric_contraction,symmetric contraction by two cadences,SAP,finite_all,none,0
F3AC075,WC2,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,-2,symmetric_contraction,symmetric contraction by two cadences,PDCSAP,q0_native,none,0
F3AC076,WC2,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,-2,symmetric_contraction,symmetric contraction by two cadences,SAP,q0_native,none,0
F3AC077,WC2,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,-2,symmetric_contraction,symmetric contraction by two cadences,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC078,WC2,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,2,-2,symmetric_contraction,symmetric contraction by two cadences,SAP,finite_all,linear_residual_plus_one,0
