rendered_value_id,artifact_id,panel_or_table_location,displayed_label,displayed_value,source_id,source_artifact,source_locator,source_value,transformation,exact_match_status
M1RV0018,M1F03,Panel B,selection gained,0,M1S031,workflows/phase3a/evidence/tables/f3a5_primary_outcome_matrix.csv,PUBLISHED_NOT_SELECTED_REFERENCE + REFERENCE_CONCORDANT + transition_eligible + SELECTION_GAINED,0,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0019,M1F04,Panel A1,stratum 1,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=1:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0020,M1F04,Panel A1,stratum 4,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=4:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0021,M1F04,Panel A1,stratum 7,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=7:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0022,M1F04,Panel A1,stratum 10,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=10:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0023,M1F04,Panel A1,stratum 13,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=13:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0024,M1F04,Panel A1,stratum 16,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=16:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0025,M1F04,Panel A1,stratum 19,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=19:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0026,M1F04,Panel A1,stratum 22,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=22:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0027,M1F04,Panel A1,stratum 25,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=25:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0028,M1F04,Panel A1,stratum 28,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=28:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0029,M1F04,Panel A1,stratum 31,0.02,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=31:conditional_selection_point_estimate,0.02,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0030,M1F04,Panel A1,stratum 34,0.24,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=34:conditional_selection_point_estimate,0.24,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0031,M1F04,Panel A2,stratum 2,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=2:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0032,M1F04,Panel A2,stratum 5,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=5:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0033,M1F04,Panel A2,stratum 8,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=8:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0034,M1F04,Panel A2,stratum 11,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=11:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0035,M1F04,Panel A2,stratum 14,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=14:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0036,M1F04,Panel A2,stratum 17,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=17:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0037,M1F04,Panel A2,stratum 20,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=20:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0038,M1F04,Panel A2,stratum 23,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=23:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0039,M1F04,Panel A2,stratum 26,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=26:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0040,M1F04,Panel A2,stratum 29,0.10,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=29:conditional_selection_point_estimate,0.1,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0041,M1F04,Panel A2,stratum 32,0.32,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=32:conditional_selection_point_estimate,0.32,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0042,M1F04,Panel A2,stratum 35,0.40,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=35:conditional_selection_point_estimate,0.4,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0043,M1F04,Panel A3,stratum 3,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=3:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0044,M1F04,Panel A3,stratum 6,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=6:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0045,M1F04,Panel A3,stratum 9,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=9:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0046,M1F04,Panel A3,stratum 12,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=12:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0047,M1F04,Panel A3,stratum 15,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=15:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0048,M1F04,Panel A3,stratum 18,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=18:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0049,M1F04,Panel A3,stratum 21,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=21:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0050,M1F04,Panel A3,stratum 24,0.02,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=24:conditional_selection_point_estimate,0.02,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0051,M1F04,Panel A3,stratum 27,0.08,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=27:conditional_selection_point_estimate,0.08,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0052,M1F04,Panel A3,stratum 30,0.56,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=30:conditional_selection_point_estimate,0.56,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0053,M1F04,Panel A3,stratum 33,0.60,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=33:conditional_selection_point_estimate,0.6,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0054,M1F04,Panel A3,stratum 36,0.70,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=36:conditional_selection_point_estimate,0.7,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0055,M1F04,Panel B1,stratum 37,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=37:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0056,M1F04,Panel B1,stratum 38,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=38:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0057,M1F04,Panel B1,stratum 39,N/E,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=39:exposure_status,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,STRUCTURAL_NO_EXPOSURE_PRESERVED
M1RV0058,M1F04,Panel B1,stratum 46,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=46:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0059,M1F04,Panel B1,stratum 47,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=47:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0060,M1F04,Panel B1,stratum 48,N/E,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=48:exposure_status,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,STRUCTURAL_NO_EXPOSURE_PRESERVED
M1RV0061,M1F04,Panel B1,stratum 55,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=55:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0062,M1F04,Panel B1,stratum 56,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=56:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0063,M1F04,Panel B1,stratum 57,N/E,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=57:exposure_status,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,STRUCTURAL_NO_EXPOSURE_PRESERVED
M1RV0064,M1F04,Panel B1,stratum 64,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=64:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0065,M1F04,Panel B1,stratum 65,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=65:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0066,M1F04,Panel B1,stratum 66,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=66:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0067,M1F04,Panel B1,stratum 73,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=73:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0068,M1F04,Panel B1,stratum 74,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=74:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0069,M1F04,Panel B1,stratum 75,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=75:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0070,M1F04,Panel B1,stratum 82,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=82:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0071,M1F04,Panel B1,stratum 83,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=83:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0072,M1F04,Panel B1,stratum 84,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=84:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0073,M1F04,Panel B1,stratum 91,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=91:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0074,M1F04,Panel B1,stratum 92,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=92:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0075,M1F04,Panel B1,stratum 93,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=93:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0076,M1F04,Panel B1,stratum 100,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=100:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0077,M1F04,Panel B1,stratum 101,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=101:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0078,M1F04,Panel B1,stratum 102,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=102:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0079,M1F04,Panel B1,stratum 109,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=109:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0080,M1F04,Panel B1,stratum 110,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=110:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0081,M1F04,Panel B1,stratum 111,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=111:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0082,M1F04,Panel B1,stratum 118,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=118:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0083,M1F04,Panel B1,stratum 119,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=119:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0084,M1F04,Panel B1,stratum 120,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=120:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0085,M1F04,Panel B1,stratum 127,0.07,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=127:conditional_selection_point_estimate,0.07142857142857142,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0086,M1F04,Panel B1,stratum 128,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=128:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0087,M1F04,Panel B1,stratum 129,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=129:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0088,M1F04,Panel B1,stratum 136,0.63,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=136:conditional_selection_point_estimate,0.631578947368421,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0089,M1F04,Panel B1,stratum 137,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=137:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0090,M1F04,Panel B1,stratum 138,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=138:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0091,M1F04,Panel B2,stratum 40,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=40:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0092,M1F04,Panel B2,stratum 41,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=41:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0093,M1F04,Panel B2,stratum 42,N/E,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=42:exposure_status,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,STRUCTURAL_NO_EXPOSURE_PRESERVED
M1RV0094,M1F04,Panel B2,stratum 49,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=49:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0095,M1F04,Panel B2,stratum 50,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=50:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
M1RV0096,M1F04,Panel B2,stratum 51,N/E,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=51:exposure_status,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,STRUCTURAL_NO_EXPOSURE_PRESERVED
M1RV0097,M1F04,Panel B2,stratum 58,0.00,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,stratum_order=58:conditional_selection_point_estimate,0.0,two-decimal deterministic label formatting of frozen point estimate,DETERMINISTIC_LABEL_FORMAT
