simulation_unit_id,background_realization_id,split,truth_state,evidence_plane,gap_quality_regime,n_samples,red_noise_alpha,qpp_fraction,true_period_s,qpp_phase_rad,signal_family,latent_offset,latent_length,latent_flux_sha256,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,input_state,inadmissibility_reasons,primary_inadmissibility_reason,materialization_status
F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,150,15,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,148,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,d8f09d043f16fd9ac381066081c9c7b595a098aa053d040d8b2dc9fcd9aac466,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R009:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,15,0.0,0.01,51.937726690268164,5.919110063834428,STATIONARY_ENVELOPE_MODULATED_SINUSOID,165,15,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,163,14,bacb2084cffa7e192b547fb33bf65156730707f050c1f65bd7d8766d94159529,26e8d451b3370175d523f7f50d85e8c5cb62f9da465cb4931a3224103e2783f1,9ea3de3ed41f0ae4005106092e9181d5e77bdd0cd210be19bb6d630ff2cf167e,83db7abb23743baeedd12c0fe929fd6bc95d56c9025e55d67c5992e203699a44,INPUT_INADMISSIBLE,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,MATERIALIZED
F3BBG_N015_A0_Q001_R009:POS:PEAKMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,15,0.0,0.01,51.937726690268164,5.919110063834428,STATIONARY_ENVELOPE_MODULATED_SINUSOID,180,15,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,177,14,7f5053474020dc1783f3ec0ef352752ec1fca35ff185dc4ecf238979b8a5807c,0e6868b8ec4a3cf76c5372bbc4a1b271d354cf971b8214a2fa858e64baa4f666,f3dbe634383522f49a4af8340ca3cd6ebef5c716cc67f83edc230b6470a1b9fa,8d669db96ed27cd90022c20bc21432b5cff9ba6329f1d86def1f7ab18aecd933,INPUT_INADMISSIBLE,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,MATERIALIZED
F3BBG_N015_A0_Q001_R009:POS:PRIMARY,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,51.937726690268164,5.919110063834428,STATIONARY_ENVELOPE_MODULATED_SINUSOID,195,15,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,191,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,63c5c6b3f835ae6f63a4a136ceb1131db1988ba7b5775f5b71be0a00eb86ee90,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R010:NULL:PRIMARY,F3BBG_N015_A0_Q001_R010,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,210,15,8c41b2af03f58e918dd37fee5760ecb30582e020c82aa4479ae28f952debd8fe,206,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,8c41b2af03f58e918dd37fee5760ecb30582e020c82aa4479ae28f952debd8fe,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,73fdabc6ddefa51169ab35a0003d88b6ba99d7ab9ca7a8cc649f1bf4925fa09d,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R010:POS:PRIMARY,F3BBG_N015_A0_Q001_R010,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,50.86241770981439,2.411936595303881,STATIONARY_ENVELOPE_MODULATED_SINUSOID,225,15,aa6d1d35b94154a12b04fad2858cbbb5898ee34a180420ed199b270f2a6e0df5,221,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,aa6d1d35b94154a12b04fad2858cbbb5898ee34a180420ed199b270f2a6e0df5,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,6cff01eec2cc788026bee9423476ed9ce529d0976794235064ca013afc174861,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,240,15,aeb1e2ab0f728fdbbab81ba33eb8fdb8ea038dd8a07af33027a0d1de882cbfeb,236,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,aeb1e2ab0f728fdbbab81ba33eb8fdb8ea038dd8a07af33027a0d1de882cbfeb,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,64.02697421060395,2.8255270299587045,STATIONARY_ENVELOPE_MODULATED_SINUSOID,255,15,bf5b5bc3d32ff2893fa5cba1aa1cbd7ed89e1bf8a97febc27ed468e7cc3cb5d4,251,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,bf5b5bc3d32ff2893fa5cba1aa1cbd7ed89e1bf8a97febc27ed468e7cc3cb5d4,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,1e5336fd51c9b3ed6387e4927e4fcef87b0880041d66a62886a0094360f88ae8,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,270,15,978bf69716ebfbde00b79888a5b71526aec2526ac2317357c77e5935507923e3,266,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,978bf69716ebfbde00b79888a5b71526aec2526ac2317357c77e5935507923e3,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,7af411256d9d0e46b34692b70867b98bd414df0d4af0e43012d5ff99976026f9,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,80.93630295642339,3.621876328801864,STATIONARY_ENVELOPE_MODULATED_SINUSOID,285,15,393659de75a3058b0cefc0f93b642f70cde0ae530ba4fe332a31e3aa303c8f60,281,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,393659de75a3058b0cefc0f93b642f70cde0ae530ba4fe332a31e3aa303c8f60,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,fe65eaa6d3073e3e1a0ccf825bcbf7f1ec9c1f3ff58c24409273aa1853e37cc3,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,300,15,954da6434af9757f99c4acc09bfa2b500d85765febf92625ff551d48a0069ba7,296,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,954da6434af9757f99c4acc09bfa2b500d85765febf92625ff551d48a0069ba7,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,ff82e25584019f56b000804f016aee5a38f7299f73deae6f2b23055cf578da11,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,80.86188936901115,1.2524194784697846,STATIONARY_ENVELOPE_MODULATED_SINUSOID,315,15,ce490adfd2ea02d85011f79c32ad7374e4e82da3cc1f5408939fc8b460cf42be,311,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,ce490adfd2ea02d85011f79c32ad7374e4e82da3cc1f5408939fc8b460cf42be,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,1d489344604f9c193df4cc4cc1b8f0ba34f9f49b14b3b429248c8836aaa6f2f0,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,330,15,d9dfdef7a22a421c4d98da94f816dd42a26352957a6c11511b8175b9b44660a6,326,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,d9dfdef7a22a421c4d98da94f816dd42a26352957a6c11511b8175b9b44660a6,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,c945aae9ed69e8064e4e1adece04dc449c999a37916c61a8b31eacaf06a2702e,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,41.28284297079541,1.96570557036194,STATIONARY_ENVELOPE_MODULATED_SINUSOID,345,15,70533f9d499e46c53a83a6ffc13ab81b0e5db3372bc423d1cd491b8ff9af7d76,341,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,70533f9d499e46c53a83a6ffc13ab81b0e5db3372bc423d1cd491b8ff9af7d76,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,6a5d93a46b9ad014ed97686f8f9e680707b20179aea57a532dfc8e478cf61d3c,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,360,15,6f1e07178cf9a4bf16c7a09c9f055d889a9e4219e06f2468dd8eee792d527051,356,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,6f1e07178cf9a4bf16c7a09c9f055d889a9e4219e06f2468dd8eee792d527051,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,330341933ea05ea10fb318b3ca38281b8bcc03c609283f8e569aaf8f02396f33,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,68.50697579013071,1.5302234823765042,STATIONARY_ENVELOPE_MODULATED_SINUSOID,375,15,2deaf37ceb7bfd3258e0addc6eedd3dabe3f122bb8f1c635081ab9c3b7cd94ee,371,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,2deaf37ceb7bfd3258e0addc6eedd3dabe3f122bb8f1c635081ab9c3b7cd94ee,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,684645d766afb10dd44028947166a340905467ff7cc7fa1777181684d864538a,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,390,15,8ed026a78c3da7e1390f1617068e0543474bcd6c3141a927255d99c309e8fa7e,386,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,8ed026a78c3da7e1390f1617068e0543474bcd6c3141a927255d99c309e8fa7e,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,ea66a9d8fdfcbd5d42ee04e3697c67207867103def86b832f967b94ec7f26527,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,75.94053852599221,5.245521009552805,STATIONARY_ENVELOPE_MODULATED_SINUSOID,405,15,a686344ae4e8f028b3d87c77cfeb272fdb68d81a1e78f9f2604854b4ef9b7d07,401,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,a686344ae4e8f028b3d87c77cfeb272fdb68d81a1e78f9f2604854b4ef9b7d07,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,5dcb80d20a89e393140b5619d26e38ce8891cf1cf7c8beab7f58412b3dc10182,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,420,15,24745992f09ae304fa21bed8570c500f8c3e5892477c6b7c5e6e6271a91bcc1b,416,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,24745992f09ae304fa21bed8570c500f8c3e5892477c6b7c5e6e6271a91bcc1b,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,07d57afcea45563e490c2dfb337d9944adf3f7687bbf0ae4b7e24e5dbff985e1,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R020:POS:PRIMARY,F3BBG_N015_A0_Q001_R020,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,71.8767845544065,0.3307389980901808,STATIONARY_ENVELOPE_MODULATED_SINUSOID,435,15,0a71f89c199962f0b48ab7fd484fdfa2866e428c274555985f067414d231456b,431,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,0a71f89c199962f0b48ab7fd484fdfa2866e428c274555985f067414d231456b,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,6f128f3f0a9d696d4ccb3454b023de6a67b08a526b9de751f9efe264ddc7eaa8,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R021:NULL:PRIMARY,F3BBG_N015_A0_Q001_R021,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,450,15,53fc54b51b9f3b96d40ab669b8c9414d968a8775f07c87c19c23d0435655542b,446,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,53fc54b51b9f3b96d40ab669b8c9414d968a8775f07c87c19c23d0435655542b,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,1ae22ff432d0f39c9d1bd97373c166dd1ba6e37ac3acabf1db57846f352e68ce,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
