block_id,n_samples,duration_s,red_noise_alpha,alpha_code,data_seed,peak_index,phase_rad,time_sha256,flare_sha256,noise_sha256,phase_float64_sha256,noise_mean,noise_std_ddof1,all_finite,generation_status,error
B_N015_A0_S10,15,280,0,0,10,3,4.0055306598323304,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,a5ac9758fc0ec685057c6836361ed5bfd84affca83dcb7ef43b5e5618ab979a8,6d29424fe010bc3160a89982ee2c277a602fdbd2786b3e99e4626e5c2e83ed3c,1.1564823173178714e-19,0.0050000000000000001,True,OK,
B_N015_A0_S11,15,280,0,0,11,3,4.7414157768611842,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,4432279fe1b02ddcbb9ceff2503978ad51db6f975e3f36d4f3288991636a280c,0ee62ec343d5daaf488bc0e0cfa4e0f77448a9e0d0ff2673bd885d96d4aba638,-2.1684043449710089e-19,0.0050000000000000001,True,OK,
B_N015_A0_S12,15,280,0,0,12,3,1.3641066717397663,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,cd605a7138eb19efc4400b0a32b4cbfd95c92bd43d3a0e7b2bdf7774cf62b0b3,627623f9baec541d52fe8fcda1550232664da1ba3f2eb70a18fb44e6fbaa7800,2.023844055306275e-19,0.0050000000000000001,True,OK,
B_N015_A0_S13,15,280,0,0,13,3,2.3312743305685051,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,1c5ca955dca847a73238dfd0acf25b9ee19a980bd2b55eee950a86a4ac3ad310,92426e04aa7516232061e49583d2183978e545cc99fbacd92a9a1dcfe2dd138d,2.159369326866963e-19,0.0050000000000000001,True,OK,
B_N015_A0_S14,15,280,0,0,14,3,6.1421536197801334,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,6d500f2d91f3ddeea59e04c2d9612b962c979c542e5ef56026691cb5ce177839,1683edad3194521de27be91bf9b1968ff22f6987b8e6fc64a8dab9cebde1f8cb,-1.1564823173178714e-19,0.0049999999999999992,True,OK,
B_N015_A0_S15,15,280,0,0,15,3,0.36502111147924488,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,6225a7ad08b9351e6ef05c55121412723588c93cbf0bfdb8a87157b1e65c88cc,367fc90b3c1f3a29ff4056d9696680068b7684617fa29a0405994cb563dab7f2,-1.1564823173178714e-19,0.0050000000000000001,True,OK,
B_N015_A0_S16,15,280,0,0,16,3,3.8879676324504842,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,59609b598b4ccec00cf59ab0f08a3ff6fa4208f3bc01e2009e0674be38ea5f1a,78f2ff01330b918bdcbe2feedd7b66667f0308ab8c43d20616d5e26774e8b25f,1.7347234759768072e-19,0.0050000000000000001,True,OK,
B_N015_A0_S17,15,280,0,0,17,3,3.4076174630349709,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,00e9680b35eae298ca844c4084e43d3dec91586b5eed7ed4ceed3ad848922860,346404a93a1e13bc844f4cb997844e1812f864e977cadb2da0cab0781d66e073,-1.3010426069826053e-19,0.0050000000000000001,True,OK,
B_N015_A0_S18,15,280,0,0,18,3,4.7949600238610905,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,8d1d7bef7cd574b5871fb7cef6a5a52b01c8ef500db3cb31cfdfd84712021bfc,5aab782ad993c39a99ef8ac5d0b9c68c28e151837412f15ca5fee8473540ac74,-8.673617379884036e-20,0.0050000000000000001,True,OK,
B_N015_A0_S19,15,280,0,0,19,3,3.9799745907205533,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,7fa1a40eb6374d00f5e6a82b593f62f464dea7a403c33ddddbb4b82fc21e5d78,6aa4fe62ba4f423eedf00dd021766415c4b72b8e56fe4b329b78523ba9a6e46f,1.7347234759768072e-19,0.0050000000000000001,True,OK,
B_N015_A0_S20,15,280,0,0,20,3,6.1014793195346755,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,cb5ba5001072c10ff5f6e9328512b8ef3f09c3d4cad53091a3d1870a527c4c29,fb4f535da839d4c2a9cd587927178b7519248aa7d407ab1132a68f8e08bfdff0,3.4694469519536144e-19,0.0049999999999999992,True,OK,
B_N015_A0_S21,15,280,0,0,21,3,0.66268956010861457,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,52d4ef0978adbd6fc4bfd0fe0f9c1fea87c88b48c39bd51053700edf1a184180,35a8f8e68d57332d627182a9ab5d282f73dc6002e1419f6b1ec855bb2ad512d2,1.1564823173178714e-19,0.005000000000000001,True,OK,
B_N015_A0_S22,15,280,0,0,22,3,5.5640005160867014,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,49fe694d0701449bfc76a5546bfa4bbc49df9cf01177c406eba7baa391eac720,58b825916531c3a6dd2fa1983c101fedec2fc15f9da5b5eeef17b636f8ff614c,0,0.005000000000000001,True,OK,
B_N015_A0_S23,15,280,0,0,23,3,0.38794671347361875,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,8b3aa741ab759a49ad09ea8f4b1f5c75f21d7de2fe40db7ec46b504c56391a0f,269dbe04e7f25420d0b8045dbb521fec465ef6a63c38ee56934db07320ea3913,1.7347234759768072e-19,0.0050000000000000001,True,OK,
B_N015_A0_S24,15,280,0,0,24,3,3.0322734622126379,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,642e7e29bda634b8cf55b1f5f81caf8bff6c7b570c123023cefe4320a1b78238,d3ea12cda956b1c085f6284b96ade881f660d49b3e3ae37a05d958082273ca1b,-2.8912057932946785e-20,0.0050000000000000001,True,OK,
B_N015_A0_S25,15,280,0,0,25,3,1.056939102458252,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,1b9fd2443224433b7e6b906180adb7df4ec84638b618d4429d8ed0093ca0158d,f91cf78da44113faf8ced92a2700ab9f6e48c7582d51db7164168139e83ca2c4,1.4456028966473392e-19,0.005000000000000001,True,OK,
B_N015_A0_S26,15,280,0,0,26,3,4.5761316719059089,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0812673d78804e84c0ccc6166cb7a826bcacfae0d1df3f46f92db772c4227bf1,ce8281e969acd209c93960177a10039bb6a7834a02b2478aa60317ce0e138193,1.9696339466819997e-19,0.0050000000000000001,True,OK,
B_N015_A0_S27,15,280,0,0,27,3,2.8705329776973123,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,56c755e500fb4067751aba32fb906fe2f732b36206f72792b2cff0e385e44834,9db8547ef3e22ab3b2d569068d4cabaad603d6eee3692ab9b3c99b8767e79701,2.3129646346357428e-19,0.0050000000000000001,True,OK,
B_N015_A0_S28,15,280,0,0,28,3,1.9866369006846925,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,08f8e2534a26d8627aacef7802d8780115ca86f4345c3e44a51cce3cd0147ac5,ebae7949347f095486e0438dfaab4faa4ffea05a2673f99fad4ddb906fe4b75c,-5.7824115865893569e-20,0.0050000000000000001,True,OK,
B_N015_A0_S29,15,280,0,0,29,3,0.077061190186481374,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,429facf51c6429560ed92baa063d1ad140e5c6fe8f3e6c63e51dfe703c51febf,65fec0fb9e8d76717fc061e1361e83906da747cc4c96b053fbd48e7816f5bf6a,6.8666137590748611e-20,0.005000000000000001,True,OK,
B_N015_A0_S30,15,280,0,0,30,3,3.9812816178979835,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0a9e0b84e42e44b2598e54f92851fb767b210e220e485c354ef5ddef46a1b2af,c0c601602bdcd68b81dd01ab2bfe805e18a6640d2e762ffd56d40ae81e1d3eae,2.8912057932946783e-19,0.0050000000000000001,True,OK,
B_N015_A0_S31,15,280,0,0,31,3,0.33426702452523882,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0202b0f6e04138c3b74692527336234d44224b0191e75e2e2534d0f2de22847c,31f3d348a7df8147db756859b29427e77b0980d225113b12ebc14cae973caf12,-1.1564823173178714e-19,0.0050000000000000001,True,OK,
B_N015_A0_S32,15,280,0,0,32,3,3.0784921440696071,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,03bf342ffe5818f89206711c4fe5cfb04f3c21f8c2c306152bdd977bd9964eb2,35b81ea6fa7d2b71351ee529a372016183dc390ac466154f2a59d5ada10faf06,-5.7824115865893569e-20,0.0050000000000000001,True,OK,
B_N015_A0_S33,15,280,0,0,33,3,3.5913584477613969,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,f590bb46618d9afb6cfb06e0c55c8166d55b80f329f052bff0b1b2af9d90a966,9cfca4e0a46a3c1b104a97930bddbe2cd0be34694e60050a72b9c433d0ecf465,-2.1684043449710089e-19,0.0050000000000000001,True,OK,
B_N015_A0_S34,15,280,0,0,34,3,3.0050474745742961,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,d87b3b94607fb3800fb8c9d72c083a54ea1f29838528750f3bcfa9d028d9bd29,ed768e89f0ab6dbc81dd378689d47a4a7cb8bcd3aa7bf42ea65aabd88e675bdc,0,0.0050000000000000001,True,OK,
B_N015_A0_S35,15,280,0,0,35,3,3.5594077301164622,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,4eaa8e9281d7a513d63cb5bd70081d17c5391c2d6432bf15831799d452c92f17,21d55d9923938c1f34e0c6bd7f1129f6d57fee6ef7208e5c76148154a37a9e0b,-1.0119220276531375e-19,0.0050000000000000001,True,OK,
B_N015_A0_S36,15,280,0,0,36,3,2.6454362548678416,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0930566421a568598d102eb0f7d0824b52ef4797d21b3ff6cd7018d68e5feed5,28c87e2dcc74c570663aad700981fc08997d0f6a73c3beaafd2e43cf26e04f52,-8.673617379884036e-20,0.0050000000000000001,True,OK,
B_N015_A0_S37,15,280,0,0,37,3,5.5518425757634251,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,4a69b453d36e46cb6f93cc831c31917e53c8a8e1001ae6e96ec99d6e5d2f01f8,95b3c5cc9ce4550c992ead8e7b9a7ba52182b627ef2833efd3aa8665d9d5e463,8.673617379884036e-20,0.0050000000000000001,True,OK,
B_N015_A0_S38,15,280,0,0,38,3,5.0150272844165871,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,4843ff7c9acf094e41afbd1486bbae1e5967c4133ab9df4ef978798a9ef48d57,b295497aa9af5b0c4e03ea028ce99510fe27adca48c1a319281d4e50e57fcc4d,-4.04768811061255e-19,0.0050000000000000001,True,OK,
B_N015_A0_S39,15,280,0,0,39,3,3.4156169856967549,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0047f5347d737bf5f2eaa195e3e77b54750681b893f30a18afa4fb93dd969084,9edb3a3e92a5b084019a73d44b73f7a0270f74d502535078f5bf21417e90e4f5,0,0.0050000000000000001,True,OK,
B_N015_A1_S00,15,280,1,1,0,3,2.1883540971594102,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,466ac1f5717ae8924bc4249e3cd867ff2feb3718a7a93a3c376ea3f3c1ec64fd,5e48718800f4fb49406cf030c9e0b888965fe86208ab6e1cb5816a0563305469,0,0.0050000000000000001,True,OK,
B_N015_A1_S01,15,280,1,1,1,3,2.32957781401843,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,97a0505e81b69ce26aacf2016a98f7c3d336bb19a2c68536b111848f52e8b7e4,327104d750c52aa95d51a5ff2c155c847b9fe675f6ae28fce086474ca0c56009,1.7347234759768072e-19,0.0049999999999999992,True,OK,
B_N015_A1_S02,15,280,1,1,2,3,3.2445769449576423,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5bb87179f352296b6fb922ec0cd6dcf16dec5207a689348c4d3b9a8206e01956,eedde17ceff9e799e7db9906459f90c38ad64f5d296e35747eab5f3cebdabff1,5.7824115865893569e-20,0.0050000000000000001,True,OK,
B_N015_A1_S03,15,280,1,1,3,3,4.5620311027584579,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,c60453217d8b969ef12d2a11993d063581a99e0a7bec119e7f9d7b6d456f1d86,0725fc940c69e0dc2988b7151410ae37cabe7cd4f77bee58fb951e6fa583a503,1.1564823173178714e-19,0.0049999999999999992,True,OK,
B_N015_A1_S04,15,280,1,1,4,3,4.0324704323974814,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,81ca21d748729984ae7aab1ec693e6ea1c4ddf73067fbd4eff0671ac0ccbb3ab,74e54d43538a5ce0128a7c6f02cd8e9b4ed0486da58051a9a7c6dba5cd4621c3,1.7347234759768072e-19,0.0049999999999999992,True,OK,
B_N015_A1_S05,15,280,1,1,5,3,1.8218319947847188,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,84ad72062082ec3226813f02327cb751963a8962c2541fc3d025b2a92225f519,0e831c226197b2e20a13c1e71a70d76408055abca2184b2d833a82d901c53ee7,2.8912057932946785e-20,0.0049999999999999992,True,OK,
B_N015_A1_S06,15,280,1,1,6,3,5.685874953274169,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,91d1ac7f36e9d9cbc19ebcbf26e955ca9a5e2f5af0c018ecacfcd2c9ed686168,7db7dc2b7358f7c16f8cc314356ded8622151d44cc07d9670236fd70e6d69f00,-1.1564823173178714e-19,0.0049999999999999992,True,OK,
B_N015_A1_S07,15,280,1,1,7,3,2.4607674987619124,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,370e46ba52e14521b30a356d76997d45e09242babbae7e8b627768cf177d73ab,f352af41b76ea58c5e4a3c38fc610f041354c85e948933d152a6d6fc1596aeb3,-2.7105054312137611e-20,0.005000000000000001,True,OK,
B_N015_A1_S08,15,280,1,1,8,3,1.6999185156246279,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,b7166cb7de65d659f0c799d88b0b51c959e44e69873da7f6a4db09840b14bb68,b7dc23c90cd060b817e9ea5af80d7f925c2e0fa324107d2c132e8d8273b86704,1.4456028966473392e-19,0.0050000000000000001,True,OK,
B_N015_A1_S09,15,280,1,1,9,3,3.4886208864655446,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,d2a0108d4f091ef11db631702898dc22463d558b4b6c02f566eda6ab920bdaff,57a3ba820961033682c34d61d992c81930b490249bab3ba7330d6d9bd40bb3af,0,0.005000000000000001,True,OK,
B_N015_A1_S10,15,280,1,1,10,3,5.8316098274807855,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,c7a69f911da61922eea3ac23ad99c29cedd0fa83a6868deebcbd43d8e5fa2cc8,e0d716e1ac27902d5d5e875baa6d03fbef80313e3f00fec1c8e6902d0e25d3e2,1.1564823173178714e-19,0.0050000000000000001,True,OK,
B_N015_A1_S11,15,280,1,1,11,3,5.1086869252928562,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,701ca1c0558ac18c26cc98d7ad4fe0d3894822938b9c39283e529dcce5123d45,a09fdb96e34d963077d48e0dc70f31fbb46e2252c200473f138c149bbb4beee1,-5.7824115865893569e-20,0.0050000000000000001,True,OK,
B_N015_A1_S12,15,280,1,1,12,3,2.0698697331862164,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0139a7b90e94731509544011b8e999f578fc946255adbcd7222d2b66d46a577b,bfa4f1bb0cee19f4634d26a5a7569cd61a946fa09a43b6fd0d49b53e13f0fb92,-2.023844055306275e-19,0.0050000000000000001,True,OK,
B_N015_A1_S13,15,280,1,1,13,3,6.2156991112536213,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,84c9a4d1c52a20fe204d6d71519be5692d2d639b289ec2e2711055533a970635,75463ec0c914d7cdbbd683f8e95e8bef0438e5b09a7a5fbdd3f45695698f8902,-1.6624433311444402e-19,0.0050000000000000001,True,OK,
B_N015_A1_S14,15,280,1,1,14,3,4.5253426996353943,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,10397bc9f83920d632ebf5c3b9a446b5d185e3f48ca38dd92aae25ad07a36ec5,02f0f6d92b639ce2065ea0e827f022b55b24826a2c235eeea0477951711fcad2,0,0.0050000000000000001,True,OK,
B_N015_A1_S15,15,280,1,1,15,3,4.3305743366952356,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,24e12fd33c66ae312d42cb5cbcadc1beda04102b1843c4f6ba6ddaf69c8ecae6,daa4a4f2b6fe5e9b6a86e674823fc247ef30ea86ce1ee910be05d13c945eb80f,0,0.0050000000000000001,True,OK,
B_N015_A1_S16,15,280,1,1,16,3,1.2727208439272675,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,89c87f18ae68aed4ada26e72dac89f27304d46b9f4781bde52557db370feab97,50301100491c200a0a0464788a0d30a07df989c1f754a4e64b7b90f3ceab4824,-2.8912057932946783e-19,0.0049999999999999992,True,OK,
B_N015_A1_S17,15,280,1,1,17,3,4.075799375299888,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,3f0c1cb7421ac0f0cc5502d44b18a20b1ac73399641b9e87b4d466b9098cc976,41097e31e8695bc3ce9c74ac772c02c92d5746a6fe4f58cc8c37ef94d5f7be40,1.7347234759768072e-19,0.0050000000000000001,True,OK,
B_N015_A1_S18,15,280,1,1,18,3,3.191298807919285,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,c140d908e30dd5fab401c89cd40e0361a859e7459378a4063d3329c0ce8c6670,b05c5a021c4626d30b917bb4b58385379db742fb84399e338ccd27ef32e2a86a,8.673617379884036e-20,0.0050000000000000001,True,OK,
