fixture_id,fixture_role,block_id,n_samples,duration_s,cadence_s,red_noise_alpha,alpha_code,data_seed,master_seed,noise_std,baseline_flux,flare_peak_excess,peak_index,t_peak_s,rise_tau_s,decay_tau_s,phase_rad,period_s,qpp_fraction,time_sha256,flare_sha256,noise_sha256,phase_float64_sha256,flux_sha256,noise_seed_metadata_json,phase_seed_metadata_json,dtype,byte_order,numpy_version
FX_B_N030_A1_S17_P080_Q010,STATIONARY_QPP_PRESENT_Q001,B_N030_A1_S17,30,580,20,1,1,17,20260802,0.0050000000000000001,1,0.5,6,120,23.199999999999999,174,6.1775491978446615,80,0.01,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,065968bfac7c236c22be24c944965083f74c0ccf33729355c5a4030c776d5070,efb4e33e1f147ebf16ab8cb32f410c85165b880e612466e204cccf1cf0d5e05a,3b04fac279b1639c4f8891912c13aea49549b6dc5c2898aec7a30d94f8bc588f,a96c796ec6591a848d8875b1d7a3937edf3439332d3ac32b82f5a59d45f0c76f,"{""entropy"":[20260802,30,1,17],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,30,1,17],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N030_A1_S17_P140_Q010,STATIONARY_QPP_PRESENT_Q001,B_N030_A1_S17,30,580,20,1,1,17,20260802,0.0050000000000000001,1,0.5,6,120,23.199999999999999,174,6.1775491978446615,140,0.01,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,065968bfac7c236c22be24c944965083f74c0ccf33729355c5a4030c776d5070,efb4e33e1f147ebf16ab8cb32f410c85165b880e612466e204cccf1cf0d5e05a,3b04fac279b1639c4f8891912c13aea49549b6dc5c2898aec7a30d94f8bc588f,042e8efb8402d0404c9489ae62e6b7ff2a13950ba106728c6253b7e6db65a3d8,"{""entropy"":[20260802,30,1,17],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,30,1,17],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N030_A1_S17_P050_Q040,STATIONARY_QPP_PRESENT_EXTRA_Q004,B_N030_A1_S17,30,580,20,1,1,17,20260802,0.0050000000000000001,1,0.5,6,120,23.199999999999999,174,6.1775491978446615,50,0.040000000000000001,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,065968bfac7c236c22be24c944965083f74c0ccf33729355c5a4030c776d5070,efb4e33e1f147ebf16ab8cb32f410c85165b880e612466e204cccf1cf0d5e05a,3b04fac279b1639c4f8891912c13aea49549b6dc5c2898aec7a30d94f8bc588f,3c15161714d99f2e329a6af36dbb490d06de2cbfa38358b30ccde701ea7b1031,"{""entropy"":[20260802,30,1,17],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,30,1,17],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N060_A0_S39_NULL,NULL_FLARE_RED_NOISE,B_N060_A0_S39,60,1180,20,0,0,39,20260802,0.0050000000000000001,1,0.5,12,240,47.200000000000003,354,2.7548184593536389,,,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,64c883dc25d233454c05b2dcca4f2190061c262aa5ebbe71b7fa190900daab64,f120ef6a2ff0b253dd4b455a03d93bcd340b4fc4adba2d00eb897bf3a9b7d6a3,886d6c949e861eacaa3d001b1e8feb437cc79edc306ac3a4893db96cc5f7f5c0,f089ed3754fd2b7a787e14b85a3def25ecff008261e2ec9c79b3da187f2c0052,"{""entropy"":[20260802,60,0,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,60,0,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N060_A0_S39_P050_Q010,STATIONARY_QPP_PRESENT_Q001,B_N060_A0_S39,60,1180,20,0,0,39,20260802,0.0050000000000000001,1,0.5,12,240,47.200000000000003,354,2.7548184593536389,50,0.01,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,64c883dc25d233454c05b2dcca4f2190061c262aa5ebbe71b7fa190900daab64,f120ef6a2ff0b253dd4b455a03d93bcd340b4fc4adba2d00eb897bf3a9b7d6a3,886d6c949e861eacaa3d001b1e8feb437cc79edc306ac3a4893db96cc5f7f5c0,368afd0931931947b0a9e6a1a522c746e1da00042e42196daecde532c20c7aeb,"{""entropy"":[20260802,60,0,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,60,0,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N060_A0_S39_P080_Q010,STATIONARY_QPP_PRESENT_Q001,B_N060_A0_S39,60,1180,20,0,0,39,20260802,0.0050000000000000001,1,0.5,12,240,47.200000000000003,354,2.7548184593536389,80,0.01,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,64c883dc25d233454c05b2dcca4f2190061c262aa5ebbe71b7fa190900daab64,f120ef6a2ff0b253dd4b455a03d93bcd340b4fc4adba2d00eb897bf3a9b7d6a3,886d6c949e861eacaa3d001b1e8feb437cc79edc306ac3a4893db96cc5f7f5c0,e1eea3bd41447a973bd21872652b348721615539349b16f8d9dbb3bae37018bf,"{""entropy"":[20260802,60,0,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,60,0,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N060_A0_S39_P140_Q010,STATIONARY_QPP_PRESENT_Q001,B_N060_A0_S39,60,1180,20,0,0,39,20260802,0.0050000000000000001,1,0.5,12,240,47.200000000000003,354,2.7548184593536389,140,0.01,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,64c883dc25d233454c05b2dcca4f2190061c262aa5ebbe71b7fa190900daab64,f120ef6a2ff0b253dd4b455a03d93bcd340b4fc4adba2d00eb897bf3a9b7d6a3,886d6c949e861eacaa3d001b1e8feb437cc79edc306ac3a4893db96cc5f7f5c0,408fc8fb056beb05ab57cc7bec8a61edc6ec22176190682681277d39e6f749dd,"{""entropy"":[20260802,60,0,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,60,0,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N060_A0_S39_P050_Q040,STATIONARY_QPP_PRESENT_EXTRA_Q004,B_N060_A0_S39,60,1180,20,0,0,39,20260802,0.0050000000000000001,1,0.5,12,240,47.200000000000003,354,2.7548184593536389,50,0.040000000000000001,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,64c883dc25d233454c05b2dcca4f2190061c262aa5ebbe71b7fa190900daab64,f120ef6a2ff0b253dd4b455a03d93bcd340b4fc4adba2d00eb897bf3a9b7d6a3,886d6c949e861eacaa3d001b1e8feb437cc79edc306ac3a4893db96cc5f7f5c0,78df049e099f0b8b041b97179abed05e2e9a9daab24203684c4969f30ae70d16,"{""entropy"":[20260802,60,0,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,60,0,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N120_A2_S00_NULL,NULL_FLARE_RED_NOISE,B_N120_A2_S00,120,2380,20,2,2,0,20260802,0.0050000000000000001,1,0.5,24,480,95.200000000000003,714,3.2919574014352135,,,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,9b4241dc519cca9c0a6c1f2c616dc689aab739d871acb3a980655e57c2be4c34,fdcbd7b9d75d23d50bee5ff9f4c91bbdb649f1955b067418e7b23dae42468097,addfac3f89c796ad8b7736f8dd71017cf60be81c4657e4b94ee77c69abf70d62,da32bd12844fce3a75d52bcb1d834a828ca560cc3a13f3f606efaa7f670c1208,"{""entropy"":[20260802,120,2,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,120,2,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N120_A2_S00_P050_Q010,STATIONARY_QPP_PRESENT_Q001,B_N120_A2_S00,120,2380,20,2,2,0,20260802,0.0050000000000000001,1,0.5,24,480,95.200000000000003,714,3.2919574014352135,50,0.01,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,9b4241dc519cca9c0a6c1f2c616dc689aab739d871acb3a980655e57c2be4c34,fdcbd7b9d75d23d50bee5ff9f4c91bbdb649f1955b067418e7b23dae42468097,addfac3f89c796ad8b7736f8dd71017cf60be81c4657e4b94ee77c69abf70d62,2496f5e9cd9025374a47d1c654c3a9a9b7fc8bcd082239e4da0f891168c5ebc2,"{""entropy"":[20260802,120,2,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,120,2,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N120_A2_S00_P080_Q010,STATIONARY_QPP_PRESENT_Q001,B_N120_A2_S00,120,2380,20,2,2,0,20260802,0.0050000000000000001,1,0.5,24,480,95.200000000000003,714,3.2919574014352135,80,0.01,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,9b4241dc519cca9c0a6c1f2c616dc689aab739d871acb3a980655e57c2be4c34,fdcbd7b9d75d23d50bee5ff9f4c91bbdb649f1955b067418e7b23dae42468097,addfac3f89c796ad8b7736f8dd71017cf60be81c4657e4b94ee77c69abf70d62,e4ada00e405734dfc0c0e88d80db1e99db275f2377d2055b93b6a661f40801d9,"{""entropy"":[20260802,120,2,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,120,2,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N120_A2_S00_P140_Q010,STATIONARY_QPP_PRESENT_Q001,B_N120_A2_S00,120,2380,20,2,2,0,20260802,0.0050000000000000001,1,0.5,24,480,95.200000000000003,714,3.2919574014352135,140,0.01,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,9b4241dc519cca9c0a6c1f2c616dc689aab739d871acb3a980655e57c2be4c34,fdcbd7b9d75d23d50bee5ff9f4c91bbdb649f1955b067418e7b23dae42468097,addfac3f89c796ad8b7736f8dd71017cf60be81c4657e4b94ee77c69abf70d62,d9d79ecd270a84e0e840a399d90b8ca1da7e9604df24143817f4bc88223db558,"{""entropy"":[20260802,120,2,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,120,2,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N120_A2_S00_P050_Q040,STATIONARY_QPP_PRESENT_EXTRA_Q004,B_N120_A2_S00,120,2380,20,2,2,0,20260802,0.0050000000000000001,1,0.5,24,480,95.200000000000003,714,3.2919574014352135,50,0.040000000000000001,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,9b4241dc519cca9c0a6c1f2c616dc689aab739d871acb3a980655e57c2be4c34,fdcbd7b9d75d23d50bee5ff9f4c91bbdb649f1955b067418e7b23dae42468097,addfac3f89c796ad8b7736f8dd71017cf60be81c4657e4b94ee77c69abf70d62,103345e4b46a030f60974779a4e8567c66b478405fec0d6f96b27c9f23ff9f45,"{""entropy"":[20260802,120,2,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,120,2,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
