numeric_id,paragraph_or_caption_id,displayed_value,scientific_meaning,claim_id,source_id,source_artifact,source_locator,frozen_source_value,transformation,status,revision_version,revision_status
M1N0019,M1P0012,111,F1 primary benchmark conditions,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 5 optimizer conditions,111,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0020,M1P0012,12,F1 null conditions,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 2,12,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0021,M1P0012,99,F1 positive conditions,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 3,99,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0022,M1P0012,40,realizations per primary condition,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,sections 2-3,40,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0023,M1P0015,10,F2 observational events,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2,10,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0024,M1P0015,5,F2 event pairs,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2,5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0025,M1P0015,13,F2 temporal windows,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2,13,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0026,M1P0015,6,F2 processing profiles,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2,6,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0027,M1P0017,13,F3A temporal-window count,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 2,13,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0028,M1P0017,6,F3A processing-profile count,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 2,6,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0029,M1P0017,122,F3A observational references,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 1,122,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0030,M1P0017,9516,F3A planned variants,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 2,9516,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0031,M1P0017,0,F3A baseline external optimizer seed,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3 W00/P00/seed0,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0032,M1P0020,10,final F3B delta-BIC01 threshold,M1C018,M1S041,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,final_rule.t01,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0033,M1P0020,10,final F3B delta-BIC21 threshold,M1C018,M1S041,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,final_rule.t21,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0034,M1P0021,4,number of candidate promotion criteria,M1C017,M1S040,workflows/phase3b/development/analysis/f3b4_candidate_rule_gate.json,promotion_criteria / all_four_required,4,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0035,M1P0021,3,promotion criteria passed,M1C017,M1S040,workflows/phase3b/development/analysis/f3b4_candidate_rule_gate.json,promotion_result.criteria_passed,3,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0036,M1P0021,10,frozen baseline threshold t01,M1C018,M1S041,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,final_rule.t01,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0037,M1P0021,10,frozen baseline threshold t21,M1C018,M1S041,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,final_rule.t21,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0038,M1P0023,5,F0 reproduced published QPP detections,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section D,5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0039,M1P0023,5,F0 paired not-selected events,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section D,5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0040,M1P0024,480,F1 primary null realizations,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 2,480,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0041,M1P0024,99,F1 positive conditions,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 3,99,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0042,M1P0024,78,positive conditions with zero selections,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 3,78,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0043,M1P0024,21,positive conditions with at least one selection,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 3,21,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0044,M1P0024,15,short-support sample count,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 3,15,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0045,M1P0024,30,short-support sample count,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 3,30,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0046,M1P0026,780,F2 planned variants,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2,780,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0047,M1P0026,10,F2 events,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2,10,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0048,M1P0026,514,F2 eligible variants,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 4,514,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0049,M1P0026,266,F2 inadmissible variants,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 4,266,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0050,M1P0026,140,F2 selected-retained transitions,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 5,140,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0051,M1P0026,136,F2 selection-lost transitions,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 5,136,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0052,M1P0026,238,F2 not-selected-retained transitions,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 5,238,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0053,M1P0026,0,F2 baseline-relative selection gains,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 5,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0054,M1P0028,122,F3A observational references,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,sections 1 and 3,122,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0055,M1P0028,9516,F3A planned variants,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,sections 2 and 4,9516,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0056,M1P0028,6422,F3A eligible variants,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 4,6422,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0057,M1P0028,3094,F3A inadmissible variants,M1C005,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 4,3094,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0058,M1P0028,65,F3A baseline-concordant references,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,65,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0059,M1P0028,51,F3A baseline mismatches,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,51,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0060,M1P0028,6,F3A baseline-inadmissible references,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,6,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0061,M1P0028,61,published-QPP reference count,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,61,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0062,M1P0028,8,QPP references baseline-concordant,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,8,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0063,M1P0028,51,QPP references baseline-mismatched,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,51,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0064,M1P0028,2,QPP references baseline-inadmissible,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,2,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0065,M1P0028,61,not-selected reference count,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,61,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0066,M1P0028,57,not-selected references baseline-concordant,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,57,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0067,M1P0028,0,not-selected baseline mismatches,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0068,M1P0028,4,not-selected baseline-inadmissible references,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,4,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0069,M1P0029,51,F3A QPP-reference baseline mismatches,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,51,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0070,M1P0029,61,F3A QPP-reference denominator,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,61,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0071,M1P0029,0,external optimizer seed in F3A baseline gate,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3 W00/P00/seed0,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0072,M1P0030,295,F3A selected-retained transitions,M1C008,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 5,295,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0073,M1P0030,171,F3A selection-lost transitions,M1C008,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 5,171,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0074,M1P0030,3178,F3A not-selected-retained transitions,M1C009,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 5,3178,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0075,M1P0030,0,F3A selection-gained transitions,M1C009,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 5,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0076,M1P0031,111,F1 primary conditions in seed-stability scope,M1C003,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 5,111,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0077,M1P0031,97,F1 conditions with M2 multiplicity flag,M1C003,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 5,97,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0078,M1P0031,111,F1 denominator for M2 multiplicity,M1C003,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 5,111,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0079,M1P0032,116,F3A optimizer stability event count,M1C011,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 6,116,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0080,M1P0032,1160,F3A seed decisions,M1C011,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 6,1160,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0081,M1P0032,0,F3A seed-discordant events,M1C011,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 6,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0082,M1P0033,295,F3A period-comparable rows,M1C011,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 7,295,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0083,M1P0034,10,DEVELOPMENT baseline threshold t01,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,baseline_rule.delta_bic_0_1_threshold,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0084,M1P0034,10,DEVELOPMENT baseline threshold t21,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,baseline_rule.delta_bic_2_1_threshold,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0085,M1P0034,143,DEVELOPMENT TP,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,confusion_matrix.TP,143,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0086,M1P0034,1657,DEVELOPMENT FN,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,confusion_matrix.FN,1657,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0087,M1P0034,1799,DEVELOPMENT TN,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,confusion_matrix.TN,1799,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0088,M1P0034,1,DEVELOPMENT FP,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,confusion_matrix.FP,1,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0089,M1P0034,3600,DEVELOPMENT classifier rows,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,confusion_matrix.total,3600,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
