numeric_id,paragraph_or_caption_id,displayed_value_m1_4,scientific_meaning,claim_id,source_id,frozen_source_value,author_review_disposition,change_reason,scientific_value_changed,new_scientific_value,status
M1N0047,M1P0026,10,F2 events,M1C004,M1S025,10,REPRESENTED,NONE,false,false,PASS
M1N0048,M1P0026,514,F2 eligible variants,M1C004,M1S025,514,REPRESENTED,NONE,false,false,PASS
M1N0049,M1P0026,266,F2 inadmissible variants,M1C004,M1S025,266,REPRESENTED,NONE,false,false,PASS
M1N0050,M1P0026,140,F2 selected-retained transitions,M1C004,M1S025,140,REPRESENTED,NONE,false,false,PASS
M1N0051,M1P0026,136,F2 selection-lost transitions,M1C004,M1S025,136,REPRESENTED,NONE,false,false,PASS
M1N0052,M1P0026,238,F2 not-selected-retained transitions,M1C004,M1S025,238,REPRESENTED,NONE,false,false,PASS
M1N0053,M1P0026,0,F2 baseline-relative selection gains,M1C004,M1S025,0,REPRESENTED,NONE,false,false,PASS
M1N0054,M1P0028,122,F3A observational references,M1C005,M1S038,122,REPRESENTED,NONE,false,false,PASS
M1N0055,M1P0028,9516,F3A planned variants,M1C005,M1S038,9516,REPRESENTED,NONE,false,false,PASS
M1N0056,M1P0028,6422,F3A eligible variants,M1C005,M1S038,6422,REPRESENTED,NONE,false,false,PASS
M1N0057,M1P0028,3094,F3A inadmissible variants,M1C005,M1S038,3094,REPRESENTED,NONE,false,false,PASS
M1N0058,M1P0028,65,F3A baseline-concordant references,M1C006,M1S038,65,REPRESENTED,NONE,false,false,PASS
M1N0059,M1P0028,51,F3A baseline mismatches,M1C006,M1S038,51,REPRESENTED,NONE,false,false,PASS
M1N0060,M1P0028,6,F3A baseline-inadmissible references,M1C006,M1S038,6,REPRESENTED,NONE,false,false,PASS
M1N0061,M1P0028,61,published-QPP reference count,M1C006,M1S038,61,REPRESENTED,NONE,false,false,PASS
M1N0062,M1P0028,8,QPP references baseline-concordant,M1C006,M1S038,8,REPRESENTED,NONE,false,false,PASS
M1N0063,M1P0028,51,QPP references baseline-mismatched,M1C006,M1S038,51,REPRESENTED,NONE,false,false,PASS
M1N0064,M1P0028,2,QPP references baseline-inadmissible,M1C006,M1S038,2,REPRESENTED,NONE,false,false,PASS
M1N0065,M1P0028,61,not-selected reference count,M1C006,M1S038,61,REPRESENTED,NONE,false,false,PASS
M1N0066,M1P0028,57,not-selected references baseline-concordant,M1C006,M1S038,57,REPRESENTED,NONE,false,false,PASS
M1N0067,M1P0028,0,not-selected baseline mismatches,M1C006,M1S038,0,REPRESENTED,NONE,false,false,PASS
M1N0068,M1P0028,4,not-selected baseline-inadmissible references,M1C006,M1S038,4,REPRESENTED,NONE,false,false,PASS
M1N0069,M1P0029,51,F3A QPP-reference baseline mismatches,M1C006,M1S038,51,REPRESENTED,NONE,false,false,PASS
M1N0070,M1P0029,61,F3A QPP-reference denominator,M1C006,M1S038,61,REPRESENTED,NONE,false,false,PASS
M1N0071,M1P0029,0,external optimizer seed in F3A baseline gate,M1C006,M1S038,0,REPRESENTED,NONE,false,false,PASS
M1N0072,M1P0030,295,F3A selected-retained transitions,M1C008,M1S038,295,REPRESENTED,NONE,false,false,PASS
M1N0073,M1P0030,171,F3A selection-lost transitions,M1C008,M1S038,171,REPRESENTED,NONE,false,false,PASS
M1N0074,M1P0030,3178,F3A not-selected-retained transitions,M1C009,M1S038,3178,REPRESENTED,NONE,false,false,PASS
M1N0075,M1P0030,0,F3A selection-gained transitions,M1C009,M1S038,0,REPRESENTED,NONE,false,false,PASS
M1N0076,M1P0031,111,F1 primary conditions in seed-stability scope,M1C003,M1S005,111,REPRESENTED,NONE,false,false,PASS
M1N0077,M1P0031,97,F1 conditions with M2 multiplicity flag,M1C003,M1S005,97,REPRESENTED,NONE,false,false,PASS
M1N0078,M1P0031,111,F1 denominator for M2 multiplicity,M1C003,M1S005,111,REPRESENTED,NONE,false,false,PASS
M1N0079,M1P0032,116,F3A optimizer stability event count,M1C011,M1S038,116,REPRESENTED,NONE,false,false,PASS
M1N0080,M1P0032,1160,F3A seed decisions,M1C011,M1S038,1160,REPRESENTED,NONE,false,false,PASS
M1N0081,M1P0032,0,F3A seed-discordant events,M1C011,M1S038,0,REPRESENTED,NONE,false,false,PASS
M1N0082,M1P0033,295,F3A period-comparable rows,M1C011,M1S038,295,REPRESENTED,NONE,false,false,PASS
M1N0083,M1P0034,10,DEVELOPMENT baseline threshold t01,M1C013,M1S039,10.0,REPRESENTED,NONE,false,false,PASS
M1N0084,M1P0034,10,DEVELOPMENT baseline threshold t21,M1C013,M1S039,10.0,REPRESENTED,NONE,false,false,PASS
M1N0085,M1P0034,143,DEVELOPMENT TP,M1C013,M1S039,143,REPRESENTED,NONE,false,false,PASS
M1N0086,M1P0034,1657,DEVELOPMENT FN,M1C013,M1S039,1657,REPRESENTED,NONE,false,false,PASS
M1N0087,M1P0034,1799,DEVELOPMENT TN,M1C013,M1S039,1799,REPRESENTED,NONE,false,false,PASS
M1N0088,M1P0034,1,DEVELOPMENT FP,M1C013,M1S039,1,REPRESENTED,NONE,false,false,PASS
M1N0089,M1P0034,3600,DEVELOPMENT classifier rows,M1C013,M1S039,3600,REPRESENTED,NONE,false,false,PASS
M1N0090,M1P0034,0.07944,DEVELOPMENT sensitivity,M1C013,M1S039,0.07944444444444444,REPRESENTED,NONE,false,false,PASS
M1N0091,M1P0034,0.99944,DEVELOPMENT specificity,M1C013,M1S039,0.9994444444444445,REPRESENTED,NONE,false,false,PASS
M1N0092,M1P0034,0.000556,DEVELOPMENT observed FPR,M1C013,M1S039,0.0005555555555555556,REPRESENTED,NONE,false,false,PASS
M1N0093,M1P0035,3,DEVELOPMENT promotion criteria passed,M1C017,M1S040,3,REPRESENTED,NONE,false,false,PASS
M1N0094,M1P0035,4,DEVELOPMENT promotion criteria required,M1C017,M1S040,4,REPRESENTED,NONE,false,false,PASS
M1N0095,M1P0035,10,final baseline t01,M1C018,M1S041,10.0,REPRESENTED,NONE,false,false,PASS
M1N0096,M1P0035,10,final baseline t21,M1C018,M1S041,10.0,REPRESENTED,NONE,false,false,PASS
M1N0097,M1P0036,152,HELDOUT TP,M1C014,M1S042,152,REPRESENTED,NONE,false,false,PASS
M1N0098,M1P0036,1648,HELDOUT FN,M1C014,M1S042,1648,REPRESENTED,NONE,false,false,PASS
M1N0099,M1P0036,1800,HELDOUT TN,M1C015,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0100,M1P0036,0,HELDOUT FP,M1C015,M1S042,0,REPRESENTED,NONE,false,false,PASS
M1N0101,M1P0036,1800,HELDOUT positive denominator,M1C014,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0102,M1P0036,1800,HELDOUT null denominator,M1C015,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0103,M1P0036,0.08444,HELDOUT sensitivity,M1C014,M1S042,0.08444444444444445,REPRESENTED,NONE,false,false,PASS
M1N0104,M1P0036,1.0,HELDOUT specificity point estimate,M1C015,M1S042,1.0,REPRESENTED,NONE,false,false,PASS
M1N0105,M1P0036,0,HELDOUT observed false-selection numerator,M1C015,M1S042,0,REPRESENTED,NONE,false,false,PASS
M1N0106,M1P0036,1800,HELDOUT observed false-selection denominator,M1C015,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0107,M1P0036,0.00213,HELDOUT FPR Wilson upper bound,M1C015,M1S042,0.002129598918967953,REPRESENTED,NONE,false,false,PASS
M1N0108,M1P0038,156,HELDOUT selection-function strata,M1C019,M1S043,156,REPRESENTED,NONE,false,false,PASS
M1N0109,M1P0038,9,structural no-exposure strata,M1C019,M1S043,9,REPRESENTED,NONE,false,false,PASS
M1N0110,M1CAPF04,9,structural no-exposure cells shown as N/E,M1C019,M1S043,9,REPRESENTED,NONE,false,false,PASS
M1N0111,M1P0039,152,HELDOUT period-recovery rows,M1C021,M1S044,152,REPRESENTED,NONE,false,false,PASS
M1N0112,M1P0039,1800,eligible synthetic positives in HELDOUT,M1C021,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0113,M1P0039,152,selected positives contributing period recovery,M1C021,M1S042,152,REPRESENTED,NONE,false,false,PASS
M1N0114,M1CAPF05,152,selected true positives plotted,M1C021,M1S044,152,REPRESENTED,NONE,false,false,PASS
M1N0115,M1CAPF05,1800,eligible synthetic positive denominator,M1C021,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0116,M1P0044,51,F3A published-QPP baseline mismatches,M1C007,M1S038,51,REPRESENTED,NONE,false,false,PASS
M1N0117,M1P0051,10,final AFINO t01 threshold,M1C018,M1S047,10.0,REPRESENTED,NONE,false,false,PASS
M1N0118,M1P0051,10,final AFINO t21 threshold,M1C018,M1S047,10.0,REPRESENTED,NONE,false,false,PASS
M1N0119,M1P0051,0.5,AFINO version for final baseline,M1C018,M1S047,0.5,REPRESENTED,NONE,false,false,PASS
M1N0120,M1P0004,20,TESS cadence in seconds for the motivating observational analysis,M1C028,M1S026,20,REPRESENTED,NONE,false,false,PASS
