rendered_value_id,artifact_id,location,displayed_value,original_M1_2_value,source_id,frozen_source_value,display_only_transformation,numeric_identity,status
M1RV0044,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0045,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0046,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0047,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0048,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0049,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0050,M1F04,Panel A3,0.02,0.02,M1S043,0.02,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0051,M1F04,Panel A3,0.08,0.08,M1S043,0.08,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0052,M1F04,Panel A3,0.56,0.56,M1S043,0.56,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0053,M1F04,Panel A3,0.60,0.60,M1S043,0.6,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0054,M1F04,Panel A3,0.70,0.70,M1S043,0.7,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0055,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0056,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0057,M1F04,Panel B1,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0058,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0059,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0060,M1F04,Panel B1,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0061,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0062,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0063,M1F04,Panel B1,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0064,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0065,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0066,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0067,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0068,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0069,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0070,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0071,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0072,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0073,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0074,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0075,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0076,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0077,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0078,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0079,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0080,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0081,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0082,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0083,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0084,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0085,M1F04,Panel B1,0.07,0.07,M1S043,0.07142857142857142,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0086,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0087,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0088,M1F04,Panel B1,0.63,0.63,M1S043,0.631578947368421,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0089,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0090,M1F04,Panel B1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0091,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0092,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0093,M1F04,Panel B2,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0094,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0095,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0096,M1F04,Panel B2,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0097,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0098,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0099,M1F04,Panel B2,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0100,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0101,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0102,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0103,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0104,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0105,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0106,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0107,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0108,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0109,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0110,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0111,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0112,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0113,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0114,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0115,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0116,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0117,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0118,M1F04,Panel B2,0.20,0.20,M1S043,0.2,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0119,M1F04,Panel B2,0.25,0.25,M1S043,0.25,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0120,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0121,M1F04,Panel B2,0.80,0.80,M1S043,0.8,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0122,M1F04,Panel B2,0.62,0.62,M1S043,0.6153846153846154,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0123,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0124,M1F04,Panel B2,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0125,M1F04,Panel B2,0.64,0.64,M1S043,0.6363636363636364,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0126,M1F04,Panel B2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0127,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0128,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0129,M1F04,Panel B3,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0130,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0131,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0132,M1F04,Panel B3,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0133,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0134,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0135,M1F04,Panel B3,N/E,N/E,M1S043,STRUCTURAL_NO_EXPOSURE,structural absence rendered as N/E rather than zero,true,PASS
M1RV0136,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0137,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0138,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0139,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0140,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0141,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0142,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0143,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0144,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0145,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0146,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0147,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0148,M1F04,Panel B3,0.11,0.11,M1S043,0.1111111111111111,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0149,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0150,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0151,M1F04,Panel B3,0.36,0.36,M1S043,0.36363636363636365,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0152,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0153,M1F04,Panel B3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0154,M1F04,Panel B3,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0155,M1F04,Panel B3,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0156,M1F04,Panel B3,0.15,0.15,M1S043,0.15384615384615385,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0157,M1F04,Panel B3,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0158,M1F04,Panel B3,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0159,M1F04,Panel B3,0.13,0.13,M1S043,0.13043478260869565,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0160,M1F04,Panel B3,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0161,M1F04,Panel B3,1.00,1.00,M1S043,1.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0162,M1F04,Panel B3,0.32,0.32,M1S043,0.3181818181818182,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0163,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0164,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0165,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0166,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0167,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0168,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0169,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0170,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0171,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0172,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0173,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0174,M1F04,Panel C,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0175,M1F04,Axes,15,15,M1S043,15,direct categorical axis label,true,PASS
M1RV0176,M1F04,Axes,30,30,M1S043,30,direct categorical axis label,true,PASS
M1RV0177,M1F04,Axes,60,60,M1S043,60,direct categorical axis label,true,PASS
M1RV0178,M1F04,Axes,120,120,M1S043,120,direct categorical axis label,true,PASS
M1RV0179,M1F04,Axes,0.0,0.0,M1S043,0.0,direct categorical axis label,true,PASS
M1RV0180,M1F04,Axes,1.0,1.0,M1S043,1.0,direct categorical axis label,true,PASS
M1RV0181,M1F04,Axes,2.0,2.0,M1S043,2.0,direct categorical axis label,true,PASS
M1RV0182,M1F04,Facets,0.01,0.01,M1S043,0.01,direct categorical facet label,true,PASS
M1RV0183,M1F04,Facets,0.02,0.02,M1S043,0.02,direct categorical facet label,true,PASS
M1RV0184,M1F04,Facets,0.04,0.04,M1S043,0.04,direct categorical facet label,true,PASS
M1RV0185,M1F05,Panel A,true=45.797321245491254; recovered=44.966420914341576,true=45.797321245491254; recovered=44.966420914341576,M1S044,true=45.797321245491254; recovered=44.966420914341576,direct source coordinate pair,true,PASS
M1RV0186,M1F05,Panel B,true=45.797321245491254; relative_error=0.018142989776535896,true=45.797321245491254; relative_error=0.018142989776535896,M1S044,true=45.797321245491254; relative_error=0.018142989776535896,direct source coordinate pair,true,PASS
M1RV0187,M1F05,Panel A,true=41.927160257660496; recovered=40.0,true=41.927160257660496; recovered=40.0,M1S044,true=41.927160257660496; recovered=40.0,direct source coordinate pair,true,PASS
M1RV0188,M1F05,Panel B,true=41.927160257660496; relative_error=0.04596448330431312,true=41.927160257660496; relative_error=0.04596448330431312,M1S044,true=41.927160257660496; relative_error=0.04596448330431312,direct source coordinate pair,true,PASS
M1RV0189,M1F05,Panel A,true=52.25404127105198; recovered=51.49526450391465,true=52.25404127105198; recovered=51.49526450391465,M1S044,true=52.25404127105198; recovered=51.49526450391465,direct source coordinate pair,true,PASS
M1RV0190,M1F05,Panel B,true=52.25404127105198; relative_error=0.014520920271054444,true=52.25404127105198; relative_error=0.014520920271054444,M1S044,true=52.25404127105198; relative_error=0.014520920271054444,direct source coordinate pair,true,PASS
M1RV0191,M1F05,Panel A,true=53.46149134147106; recovered=52.56415760277833,true=53.46149134147106; recovered=52.56415760277833,M1S044,true=53.46149134147106; recovered=52.56415760277833,direct source coordinate pair,true,PASS
M1RV0192,M1F05,Panel B,true=53.46149134147106; relative_error=0.016784674654158994,true=53.46149134147106; relative_error=0.016784674654158994,M1S044,true=53.46149134147106; relative_error=0.016784674654158994,direct source coordinate pair,true,PASS
M1RV0193,M1F05,Panel A,true=45.480211309235536; recovered=44.065245533520105,true=45.480211309235536; recovered=44.065245533520105,M1S044,true=45.480211309235536; recovered=44.065245533520105,direct source coordinate pair,true,PASS
M1RV0194,M1F05,Panel B,true=45.480211309235536; relative_error=0.03111167989292295,true=45.480211309235536; relative_error=0.03111167989292295,M1S044,true=45.480211309235536; relative_error=0.03111167989292295,direct source coordinate pair,true,PASS
M1RV0195,M1F05,Panel A,true=42.00572317670321; recovered=40.09802756375717,true=42.00572317670321; recovered=40.09802756375717,M1S044,true=42.00572317670321; recovered=40.09802756375717,direct source coordinate pair,true,PASS
M1RV0196,M1F05,Panel B,true=42.00572317670321; relative_error=0.04541513557381317,true=42.00572317670321; relative_error=0.04541513557381317,M1S044,true=42.00572317670321; relative_error=0.04541513557381317,direct source coordinate pair,true,PASS
M1RV0197,M1F05,Panel A,true=70.1826078007049; recovered=69.90797900280658,true=70.1826078007049; recovered=69.90797900280658,M1S044,true=70.1826078007049; recovered=69.90797900280658,direct source coordinate pair,true,PASS
M1RV0198,M1F05,Panel B,true=70.1826078007049; relative_error=0.003913060607240044,true=70.1826078007049; relative_error=0.003913060607240044,M1S044,true=70.1826078007049; relative_error=0.003913060607240044,direct source coordinate pair,true,PASS
M1RV0199,M1F05,Panel A,true=45.61322587670629; recovered=45.902741478716344,true=45.61322587670629; recovered=45.902741478716344,M1S044,true=45.61322587670629; recovered=45.902741478716344,direct source coordinate pair,true,PASS
M1RV0200,M1F05,Panel B,true=45.61322587670629; relative_error=0.006347185414875585,true=45.61322587670629; relative_error=0.006347185414875585,M1S044,true=45.61322587670629; relative_error=0.006347185414875585,direct source coordinate pair,true,PASS
M1RV0201,M1F05,Panel A,true=73.92477218742805; recovered=74.27001991033761,true=73.92477218742805; recovered=74.27001991033761,M1S044,true=73.92477218742805; recovered=74.27001991033761,direct source coordinate pair,true,PASS
M1RV0202,M1F05,Panel B,true=73.92477218742805; relative_error=0.0046702575157651464,true=73.92477218742805; relative_error=0.0046702575157651464,M1S044,true=73.92477218742805; relative_error=0.0046702575157651464,direct source coordinate pair,true,PASS
M1RV0203,M1F05,Panel A,true=78.09840451253184; recovered=78.26695025352483,true=78.09840451253184; recovered=78.26695025352483,M1S044,true=78.09840451253184; recovered=78.26695025352483,direct source coordinate pair,true,PASS
M1RV0204,M1F05,Panel B,true=78.09840451253184; relative_error=0.0021581201568072654,true=78.09840451253184; relative_error=0.0021581201568072654,M1S044,true=78.09840451253184; relative_error=0.0021581201568072654,direct source coordinate pair,true,PASS
M1RV0205,M1F05,Panel A,true=127.82286646492656; recovered=132.50275669885892,true=127.82286646492656; recovered=132.50275669885892,M1S044,true=127.82286646492656; recovered=132.50275669885892,direct source coordinate pair,true,PASS
M1RV0206,M1F05,Panel B,true=127.82286646492656; relative_error=0.03661230860611684,true=127.82286646492656; relative_error=0.03661230860611684,M1S044,true=127.82286646492656; relative_error=0.03661230860611684,direct source coordinate pair,true,PASS
M1RV0207,M1F05,Panel A,true=51.9324925964754; recovered=51.79126853720372,true=51.9324925964754; recovered=51.79126853720372,M1S044,true=51.9324925964754; recovered=51.79126853720372,direct source coordinate pair,true,PASS
M1RV0208,M1F05,Panel B,true=51.9324925964754; relative_error=0.0027193776422213016,true=51.9324925964754; relative_error=0.0027193776422213016,M1S044,true=51.9324925964754; relative_error=0.0027193776422213016,direct source coordinate pair,true,PASS
M1RV0209,M1F05,Panel A,true=110.93333497773631; recovered=110.8494426148733,true=110.93333497773631; recovered=110.8494426148733,M1S044,true=110.93333497773631; recovered=110.8494426148733,direct source coordinate pair,true,PASS
